unit,objects,flagged,pct
bamf_aimi_annotations,384,384,100.0
dicom_lidc_idri_nodules,384,384,100.0
totalsegmentator_ct_segmentations,384,384,100.0
qin_lungct_seg,378,378,100.0
prostatex_seg_zones,98,98,100.0
pancreas_ct_seg,80,80,100.0
prostate_mri_us_biopsy_dicom_annotations,384,384,100.0
prostatex_seg_hires,66,66,100.0
nlstseg,384,384,100.0
rider_lungct_seg,118,59,50.0
rms_mutation_prediction_expert_annotations,357,96,26.8908
(null),5731,1248,21.7763
nnu_net_bpr_annotations,3290,384,11.6717
eay131_tumor_annotations,14779,384,2.5983
cptac_ccrcc_tumor_annotations,636,0,0.0
cptac_pda_tumor_annotations,536,0,0.0
cptac_ucec_tumor_annotations,617,0,0.0
lung_pet_ct_dx_annotations,1091,0,0.0
dicom_sr_breast_clinical,1292,0,0.0
nlst_sybil,970,0,0.0
pan_cancer_nuclei_seg_dicom,356,0,0.0
prostatex_targets,345,0,0.0
qiba_volct_1b,1372,0,0.0
tcga_gbm360,691,0,0.0
tcga_sbu_til_maps,384,0,0.0
