unit,objects,flagged,pct
acrin_nsclc_fdg_pet,16,16,100.0
advanced_mri_breast_lesions,21,21,100.0
adrenal_acc_ki67_seg,4,4,100.0
ct4harmonization_multicentric,252,252,100.0
ct_lymph_nodes,26,26,100.0
anti_pd_1_lung,3,3,100.0
colorectal_liver_metastases,44,44,100.0
ct_phantom4radiomics,49,49,100.0
qin_prostate_repeatability,8,8,100.0
qin_lung_ct,91,91,100.0
qin_breast,8,8,100.0
pancreas_ct,80,80,100.0
prostate_mri_us_biopsy,427,427,100.0
psma_pet_ct_lesions,384,384,100.0
mediastinal_lymph_node_seg,80,80,100.0
lidc_idri,474,474,100.0
lung_phantom,108,108,100.0
hcc_tace_seg,31,31,100.0
duke_breast_cancer_mri,79,79,100.0
upenn_gbm,121,121,100.0
spine_mets_ct_seg,6,6,100.0
spie_aapm_lung_ct_challenge,3,3,100.0
remind,59,59,100.0
rider_lung_pet_ct,2,2,100.0
spinal_multiple_myeloma_seg,23,23,100.0
nsclc_radiogenomics,116,113,97.4138
tcga_lihc,26,11,42.3077
prostatex,524,179,34.1603
rms_mutation_prediction,357,96,26.8908
tcga_kirc,31,8,25.8065
nlst,4061,1013,24.9446
rider_lung_ct,1139,232,20.3687
nsclc_radiomics,1513,263,17.3827
nsclc_radiomics_interobserver1,25,4,16.0
eay131,14779,384,2.5983
tcga_lusc,58,1,1.7241
tcga_luad,61,1,1.6393
lung_pet_ct_dx,1098,7,0.6375
cptac_ccrcc,638,2,0.3135
cptac_ucec,617,0,0.0
cptac_pda,536,0,0.0
cc_radiomics_phantom,34,0,0.0
cc_radiomics_phantom_3,275,0,0.0
4d_lung,800,0,0.0
acrin_6698,77,0,0.0
cc_tumor_heterogeneity,68,0,0.0
breast_diagnosis,94,0,0.0
breast_mri_nact_pilot,220,0,0.0
c4kc_kits,12,0,0.0
ispy2,135,0,0.0
lctsc,60,0,0.0
rider_pilot,524,0,0.0
qin_breast_dce_mri,40,0,0.0
pancreatic_ct_cbct_seg,130,0,0.0
qiba_ct_1c,949,0,0.0
prostate_anatomical_edge_cases,131,0,0.0
pediatric_ct_seg,359,0,0.0
ispy1,945,0,0.0
ct_vs_pet_ventilation_imaging,20,0,0.0
dro_toolkit,1,0,0.0
tcga_blca,52,0,0.0
tcga_brca,290,0,0.0
tcga_cesc,23,0,0.0
tcga_gbm,740,0,0.0
tcga_esca,5,0,0.0
tcga_acc,18,0,0.0
soft_tissue_sarcoma,306,0,0.0
tcga_hnsc,21,0,0.0
tcga_coad,54,0,0.0
tcga_ov,5,0,0.0
tcga_meso,8,0,0.0
tcga_prad,31,0,0.0
tcga_read,28,0,0.0
tcga_sarc,7,0,0.0
tcga_paad,11,0,0.0
tcga_skcm,31,0,0.0
tcga_stad,40,0,0.0
tcga_thym,6,0,0.0
tcga_tgct,1,0,0.0
tcga_ucec,62,0,0.0
tcga_uvm,7,0,0.0
uw_cirp_mouse_pet_ct_nsclc,25,0,0.0
vestibular_schwannoma_seg,484,0,0.0
