sop_class_name,analysis_result_id,carrier,objects,absent,zero_length,non_empty,absent_or_zero_length,type1_here,type1_violation
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,Manufacturer,1091,0,0,1091,0,no,0
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,ManufacturerModelName,1091,1091,0,0,0,no,0
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,DeviceSerialNumber,1091,1091,0,0,0,no,0
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,SoftwareVersions,1091,1091,0,0,0,no,0
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,ImplementationVersionName,1091,0,0,1091,0,no,0
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,ImplementationClassUID,1091,0,0,1091,0,no,0
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,ContributingEquipmentSequence,1091,0,0,1091,0,no,0
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,ContentCreatorName,1091,1091,0,0,0,no,0
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,SeriesDescription,1091,0,0,1091,0,no,0
Comprehensive 3D SR Storage,nlst_sybil,Manufacturer,970,0,0,970,0,no,0
Comprehensive 3D SR Storage,nlst_sybil,ManufacturerModelName,970,970,0,0,0,no,0
Comprehensive 3D SR Storage,nlst_sybil,DeviceSerialNumber,970,970,0,0,0,no,0
Comprehensive 3D SR Storage,nlst_sybil,SoftwareVersions,970,970,0,0,0,no,0
Comprehensive 3D SR Storage,nlst_sybil,ImplementationVersionName,970,0,0,970,0,no,0
Comprehensive 3D SR Storage,nlst_sybil,ImplementationClassUID,970,0,0,970,0,no,0
Comprehensive 3D SR Storage,nlst_sybil,ContributingEquipmentSequence,970,0,0,970,0,no,0
Comprehensive 3D SR Storage,nlst_sybil,ContentCreatorName,970,970,0,0,0,no,0
Comprehensive 3D SR Storage,nlst_sybil,SeriesDescription,970,0,0,970,0,no,0
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,Manufacturer,2906,0,0,2906,0,no,0
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,ManufacturerModelName,2906,2906,0,0,0,no,0
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,DeviceSerialNumber,2906,2906,0,0,0,no,0
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,SoftwareVersions,2906,2906,0,0,0,no,0
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,ImplementationVersionName,2906,0,0,2906,0,no,0
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,ImplementationClassUID,2906,0,0,2906,0,no,0
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,ContributingEquipmentSequence,2906,0,0,0,2906,no,0
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,ContentCreatorName,2906,2906,0,0,0,no,0
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,SeriesDescription,2906,0,0,2906,0,no,0
Comprehensive 3D SR Storage,prostatex_targets,Manufacturer,345,0,0,345,0,no,0
Comprehensive 3D SR Storage,prostatex_targets,ManufacturerModelName,345,345,0,0,0,no,0
Comprehensive 3D SR Storage,prostatex_targets,DeviceSerialNumber,345,345,0,0,0,no,0
Comprehensive 3D SR Storage,prostatex_targets,SoftwareVersions,345,345,0,0,0,no,0
Comprehensive 3D SR Storage,prostatex_targets,ImplementationVersionName,345,0,0,345,0,no,0
Comprehensive 3D SR Storage,prostatex_targets,ImplementationClassUID,345,0,0,345,0,no,0
Comprehensive 3D SR Storage,prostatex_targets,ContributingEquipmentSequence,345,0,0,345,0,no,0
Comprehensive 3D SR Storage,prostatex_targets,ContentCreatorName,345,345,0,0,0,no,0
Comprehensive 3D SR Storage,prostatex_targets,SeriesDescription,345,0,0,345,0,no,0
Comprehensive 3D SR Storage,rms_mutation_prediction_expert_annotations,Manufacturer,96,0,0,96,0,no,0
Comprehensive 3D SR Storage,rms_mutation_prediction_expert_annotations,ManufacturerModelName,96,0,0,96,0,no,0
Comprehensive 3D SR Storage,rms_mutation_prediction_expert_annotations,DeviceSerialNumber,96,0,0,96,0,no,0
Comprehensive 3D SR Storage,rms_mutation_prediction_expert_annotations,SoftwareVersions,96,0,0,96,0,no,0
Comprehensive 3D SR Storage,rms_mutation_prediction_expert_annotations,ImplementationVersionName,96,0,0,96,0,no,0
Comprehensive 3D SR Storage,rms_mutation_prediction_expert_annotations,ImplementationClassUID,96,0,0,96,0,no,0
Comprehensive 3D SR Storage,rms_mutation_prediction_expert_annotations,ContributingEquipmentSequence,96,0,0,0,96,no,0
Comprehensive 3D SR Storage,rms_mutation_prediction_expert_annotations,ContentCreatorName,96,96,0,0,0,no,0
Comprehensive 3D SR Storage,rms_mutation_prediction_expert_annotations,SeriesDescription,96,0,0,96,0,no,0
Comprehensive SR Storage,(null),Manufacturer,462,0,0,462,0,no,0
Comprehensive SR Storage,(null),ManufacturerModelName,462,0,0,462,0,no,0
Comprehensive SR Storage,(null),DeviceSerialNumber,462,462,0,0,0,no,0
Comprehensive SR Storage,(null),SoftwareVersions,462,462,0,0,0,no,0
Comprehensive SR Storage,(null),ImplementationVersionName,462,0,0,462,0,no,0
Comprehensive SR Storage,(null),ImplementationClassUID,462,0,0,462,0,no,0
Comprehensive SR Storage,(null),ContributingEquipmentSequence,462,0,0,0,462,no,0
Comprehensive SR Storage,(null),ContentCreatorName,462,462,0,0,0,no,0
Comprehensive SR Storage,(null),SeriesDescription,462,0,0,462,0,no,0
Comprehensive SR Storage,dicom_sr_breast_clinical,Manufacturer,1292,0,0,1292,0,no,0
Comprehensive SR Storage,dicom_sr_breast_clinical,ManufacturerModelName,1292,0,0,1292,0,no,0
Comprehensive SR Storage,dicom_sr_breast_clinical,DeviceSerialNumber,1292,0,447,845,0,no,0
Comprehensive SR Storage,dicom_sr_breast_clinical,SoftwareVersions,1292,0,0,1292,0,no,0
Comprehensive SR Storage,dicom_sr_breast_clinical,ImplementationVersionName,1292,0,0,1292,0,no,0
Comprehensive SR Storage,dicom_sr_breast_clinical,ImplementationClassUID,1292,0,0,1292,0,no,0
Comprehensive SR Storage,dicom_sr_breast_clinical,ContributingEquipmentSequence,1292,0,0,0,1292,no,0
Comprehensive SR Storage,dicom_sr_breast_clinical,ContentCreatorName,1292,1292,0,0,0,no,0
Comprehensive SR Storage,dicom_sr_breast_clinical,SeriesDescription,1292,0,0,1292,0,no,0
Comprehensive SR Storage,qiba_volct_1b,Manufacturer,364,0,0,364,0,no,0
Comprehensive SR Storage,qiba_volct_1b,ManufacturerModelName,364,0,0,364,0,no,0
Comprehensive SR Storage,qiba_volct_1b,DeviceSerialNumber,364,260,0,104,0,no,0
Comprehensive SR Storage,qiba_volct_1b,SoftwareVersions,364,0,0,364,0,no,0
Comprehensive SR Storage,qiba_volct_1b,ImplementationVersionName,364,0,0,364,0,no,0
Comprehensive SR Storage,qiba_volct_1b,ImplementationClassUID,364,0,0,364,0,no,0
Comprehensive SR Storage,qiba_volct_1b,ContributingEquipmentSequence,364,0,0,0,364,no,0
Comprehensive SR Storage,qiba_volct_1b,ContentCreatorName,364,364,0,0,0,no,0
Comprehensive SR Storage,qiba_volct_1b,SeriesDescription,364,0,0,364,0,no,0
Grayscale Softcopy Presentation State Storage,(null),Manufacturer,462,0,0,462,0,no,0
Grayscale Softcopy Presentation State Storage,(null),ManufacturerModelName,462,462,0,0,0,no,0
Grayscale Softcopy Presentation State Storage,(null),DeviceSerialNumber,462,462,0,0,0,no,0
Grayscale Softcopy Presentation State Storage,(null),SoftwareVersions,462,462,0,0,0,no,0
Grayscale Softcopy Presentation State Storage,(null),ImplementationVersionName,462,0,0,462,0,no,0
Grayscale Softcopy Presentation State Storage,(null),ImplementationClassUID,462,0,0,462,0,no,0
Grayscale Softcopy Presentation State Storage,(null),ContributingEquipmentSequence,462,0,0,0,462,no,0
Grayscale Softcopy Presentation State Storage,(null),ContentCreatorName,462,0,462,0,0,no,0
Grayscale Softcopy Presentation State Storage,(null),SeriesDescription,462,462,0,0,0,no,0
Grayscale Softcopy Presentation State Storage,qiba_volct_1b,Manufacturer,624,0,104,520,0,no,0
Grayscale Softcopy Presentation State Storage,qiba_volct_1b,ManufacturerModelName,624,104,0,520,0,no,0
Grayscale Softcopy Presentation State Storage,qiba_volct_1b,DeviceSerialNumber,624,624,0,0,0,no,0
Grayscale Softcopy Presentation State Storage,qiba_volct_1b,SoftwareVersions,624,104,0,520,0,no,0
Grayscale Softcopy Presentation State Storage,qiba_volct_1b,ImplementationVersionName,624,0,0,624,0,no,0
Grayscale Softcopy Presentation State Storage,qiba_volct_1b,ImplementationClassUID,624,0,0,624,0,no,0
Grayscale Softcopy Presentation State Storage,qiba_volct_1b,ContributingEquipmentSequence,624,0,0,0,624,no,0
Grayscale Softcopy Presentation State Storage,qiba_volct_1b,ContentCreatorName,624,0,560,64,0,no,0
Grayscale Softcopy Presentation State Storage,qiba_volct_1b,SeriesDescription,624,624,0,0,0,no,0
Key Object Selection Document Storage,(null),Manufacturer,40,40,0,0,0,no,0
Key Object Selection Document Storage,(null),ManufacturerModelName,40,40,0,0,0,no,0
Key Object Selection Document Storage,(null),DeviceSerialNumber,40,40,0,0,0,no,0
Key Object Selection Document Storage,(null),SoftwareVersions,40,40,0,0,0,no,0
Key Object Selection Document Storage,(null),ImplementationVersionName,40,0,0,40,0,no,0
Key Object Selection Document Storage,(null),ImplementationClassUID,40,0,0,40,0,no,0
Key Object Selection Document Storage,(null),ContributingEquipmentSequence,40,0,0,0,40,no,0
Key Object Selection Document Storage,(null),ContentCreatorName,40,40,0,0,0,no,0
Key Object Selection Document Storage,(null),SeriesDescription,40,0,0,40,0,no,0
Parametric Map Storage,tcga_gbm360,Manufacturer,691,0,0,691,0,yes,0
Parametric Map Storage,tcga_gbm360,ManufacturerModelName,691,0,0,691,0,yes,0
Parametric Map Storage,tcga_gbm360,DeviceSerialNumber,691,0,0,691,0,yes,0
Parametric Map Storage,tcga_gbm360,SoftwareVersions,691,0,0,691,0,yes,0
Parametric Map Storage,tcga_gbm360,ImplementationVersionName,691,0,0,691,0,no,0
Parametric Map Storage,tcga_gbm360,ImplementationClassUID,691,0,0,691,0,no,0
Parametric Map Storage,tcga_gbm360,ContributingEquipmentSequence,691,0,0,691,0,no,0
Parametric Map Storage,tcga_gbm360,ContentCreatorName,691,0,691,0,0,no,0
Parametric Map Storage,tcga_gbm360,SeriesDescription,691,0,0,691,0,no,0
RT Structure Set Storage,(null),Manufacturer,3115,0,275,2840,0,no,0
RT Structure Set Storage,(null),ManufacturerModelName,3115,0,0,3115,0,no,0
RT Structure Set Storage,(null),DeviceSerialNumber,3115,2579,152,384,0,no,0
RT Structure Set Storage,(null),SoftwareVersions,3115,0,0,3115,0,no,0
RT Structure Set Storage,(null),ImplementationVersionName,3115,0,0,3115,0,no,0
RT Structure Set Storage,(null),ImplementationClassUID,3115,0,0,3115,0,no,0
RT Structure Set Storage,(null),ContributingEquipmentSequence,3115,0,0,0,3115,no,0
RT Structure Set Storage,(null),ContentCreatorName,3115,3115,0,0,0,no,0
RT Structure Set Storage,(null),SeriesDescription,3115,1068,1,2046,0,no,0
RT Structure Set Storage,cptac_ccrcc_tumor_annotations,Manufacturer,636,0,0,636,0,no,0
RT Structure Set Storage,cptac_ccrcc_tumor_annotations,ManufacturerModelName,636,0,0,636,0,no,0
RT Structure Set Storage,cptac_ccrcc_tumor_annotations,DeviceSerialNumber,636,636,0,0,0,no,0
RT Structure Set Storage,cptac_ccrcc_tumor_annotations,SoftwareVersions,636,1,0,635,0,no,0
