sop_class_name,value,objects
Comprehensive 3D SR Storage,BPR landmark annotations,1453
Comprehensive 3D SR Storage,BPR region annotations,1453
Comprehensive SR Storage,Standard Breast Imaging Report,1292
RT Structure Set Storage,"Pre-dose, LIVER - 1 - SEED POINT",1188
Comprehensive 3D SR Storage,Tumor bounding box,1091
RT Structure Set Storage,"Pre-dose, LIVER - 1",987
Comprehensive 3D SR Storage,Sybil lesion bounding box,970
RT Structure Set Storage,"Pre-dose, LIVER - 2 - SEED POINT",801
Segmentation Storage,Manual Segmentation,768
Parametric Map Storage,Aggressiveness Score Map,691
RT Structure Set Storage,"Pre-dose, LIVER - 2",672
RT Structure Set Storage,"Pre-dose, RIGHT LUNG - 1 - SEED POINT",648
Segmentation Storage,Reader1,602
RT Structure Set Storage,"Pre-dose, RIGHT LUNG - 1",533
Comprehensive 3D SR Storage,Biograph 64,457
Comprehensive SR Storage,Completed,453
Segmentation Storage,Imaging Data Commons,410
Segmentation Storage,Random Walker Algorithm,409
RT Structure Set Storage,"Pre-dose, LEFT LUNG - 1 - SEED POINT",393
RT Structure Set Storage,"Pre-dose, LEFT LUNG - 2 - SEED POINT",379
Segmentation Storage,3DSlicer,378
RT Structure Set Storage,"Pre-dose, MEDIASTINAL LYMPH NODE - 1 - SEED POINT",366
Segmentation Storage,BAMF-Brain-MR,362
Segmentation Storage,Segmentation,360
Segmentation Storage,https://doi.org/10.7937/TCIA.2019.4A4DKP9U,356
Comprehensive 3D SR Storage,Prostate lesion target annotations,345
Segmentation Storage,Segmentation - Tumor lesions detected,340
Segmentation Storage,BAMFHealth^AI,340
RT Structure Set Storage,"Pre-dose, LEFT LUNG - 1",317
RT Structure Set Storage,"Pre-dose, LEFT LUNG - 2",313
RT Structure Set Storage,Vision 7.3 - External Beam Planning,309
RT Structure Set Storage,"Pre-dose, MEDIASTINAL LYMPH NODE - 1",303
Segmentation Storage,doi:10.3389/fonc.2021.806603,298
Comprehensive 3D SR Storage,Skyra,288
RT Structure Set Storage,"Pre-dose, RIGHT LUNG - 2 - SEED POINT",286
Segmentation Storage,AI Model Tissue Segmentations,261
RT Structure Set Storage,RTSTRUCT,256
Segmentation Storage,Manually Segmented Liver ROIs,252
Segmentation Storage,NIfTI to SEG,252
RT Structure Set Storage,"Pre-dose, PERITONEUM - 1 - SEED POINT",241
RT Structure Set Storage,"Pre-dose, RIGHT LUNG - 2",237
Segmentation Storage,"Background Threshold, PE threshold and connectivity filter",205
RT Structure Set Storage,"Pre-Dose, UTERUS - 1 - SEED POINT",198
RT Structure Set Storage,"Pre-Dose, UTERUS - 1",198
Segmentation Storage,NLSTSeg Segmentation of Series: 2,198
Comprehensive 3D SR Storage,Discovery CT750 HD,194
RT Structure Set Storage,"Pre-dose, PERITONEUM - 1",191
Segmentation Storage,Segmentation of prostate,189
Segmentation Storage,PROFUSE,189
RT Structure Set Storage,"Pre-dose, RETROPERITONEAL LYMPH NODE - 1 - SEED POINT",181
RT Structure Set Storage,"Pre-dose, PANCREAS - 1 - SEED POINT",177
Comprehensive 3D SR Storage,LightSpeed QX/i,174
RT Structure Set Storage,"Pre-dose, PELVIS - 1 - SEED POINT",174
Segmentation Storage,doi:10.7937/K9/TCIA.2018.Y75F9W1,172
Comprehensive 3D SR Storage,Volume Zoom,159
Segmentation Storage,BAMF-Breast-Tumor-MRI,143
Segmentation Storage,Segmentation of prostate lesion 1,142
RT Structure Set Storage,"Pre-dose, PELVIS - 1",141
RT Structure Set Storage,"Pre-dose, MEDIASTINAL LYMPH NODE - 2 - SEED POINT",139
Segmentation Storage,ISPY2: VOLSER: uni-lateral cropped: Analysis Mask,138
RT Structure Set Storage,"Pre-dose, RETROPERITONEAL LYMPH NODE - 1",137
Comprehensive 3D SR Storage,Sensation 16,129
RT Structure Set Storage,"Pre-dose, PANCREAS - 1",128
RT Structure Set Storage,"Pre-Dose, PANCREAS - 1 - SEED POINT",124
RT Structure Set Storage,"Pre-Dose, PANCREAS - 1",124
Segmentation Storage,Signa HDxt,123
RT Structure Set Storage,"Pre-dose, MEDIASTINAL LYMPH NODE - 2",118
RT Structure Set Storage,"Pre-dose, SPINE - 1 - SEED POINT",115
RT Structure Set Storage,"Pre-dose, RETROPERITONEAL LYMPH NODE - 2 - SEED POINT",111
RT Structure Set Storage,Contouring,111
Segmentation Storage,BAMF-Lung-CT-v2,110
RT Structure Set Storage,"Pre-dose, PARAAORTIC LYMPH NODE - 1 - SEED POINT",109
Comprehensive 3D SR Storage,LightSpeed VCT,106
RT Structure Set Storage,"Pre-dose, PERITONEUM - 2 - SEED POINT",106
Comprehensive SR Storage,Lesion Designator,104
Segmentation Storage,AIMI Brain MRI AI segmentation,104
RT Structure Set Storage,"Pre-dose, PARAAORTIC LYMPH NODE - 1",101
RT Structure Set Storage,"Pre-dose, SPINE - 1",99
Segmentation Storage,NLSTSeg Segmentation of Series: 3,99
Segmentation Storage,Region-growing,99
Comprehensive 3D SR Storage,LightSpeed16,97
Comprehensive 3D SR Storage,Sensation 10,97
Comprehensive 3D SR Storage,Biograph64,97
Comprehensive 3D SR Storage,Manual region annotations,96
RT Structure Set Storage,"Pre-dose, RETROPERITONEAL LYMPH NODE - 2",94
RT Structure Set Storage,Control,94
RT Structure Set Storage,Chest,93
RT Structure Set Storage,"Pre-dose, LESION SEED POINT - NO FINDINGS",92
RT Structure Set Storage,"Pre-dose, PERITONEAL LYMPH NODE - 1 - SEED POINT",90
RT Structure Set Storage,Head,88
RT Structure Set Storage,"Pre-dose, LEFT ADRENAL GLAND - 1 - SEED POINT",87
Segmentation Storage,ePAD2.0.1,87
Segmentation Storage,GENESIS_SIGNA,84
RT Structure Set Storage,"Pre-dose, PERITONEUM - 2",83
Segmentation Storage,Tumor Segmentation,83
RT Structure Set Storage,"Pre-Dose, RIGHT KIDNEY - 1 - SEED POINT",82
RT Structure Set Storage,"Pre-Dose, RIGHT KIDNEY - 1",82
Segmentation Storage,QIBA CT 1B Round 2 Reader 4,80
Segmentation Storage,Segmentation of pancreas,80
Segmentation Storage,Anonymous,80
RT Structure Set Storage,BSCB_LL_LR_SDCB,79
Segmentation Storage,QIBA CT 1B Round 2 Reader 5,79
Segmentation Storage,Customized Tumor Response Assessment Platform (based on Weasis),79
Segmentation Storage,SlicerEditor,78
Comprehensive 3D SR Storage,LightSpeed Plus,77
Segmentation Storage,QIBA CT 1B Round 2 Reader 2,77
Segmentation Storage,QIBA CT 1B Round 2 Reader 1,76
Comprehensive 3D SR Storage,LightSpeed Ultra,75
Segmentation Storage,QIBA CT 1B Round 2 Reader 3,72
Segmentation Storage,Lung1CollectionOwner,72
Comprehensive 3D SR Storage,iCT 256,70
RT Structure Set Storage,"Pre-dose, RIGHT ADRENAL GLAND - 1 - SEED POINT",69
RT Structure Set Storage,"Pre-dose, ABDOMINAL WALL - 1 - SEED POINT",68
RT Structure Set Storage,"Pre-dose, PARAAORTIC LYMPH NODE - 2 - SEED POINT",68
RT Structure Set Storage,ROI,68
Segmentation Storage,Amira,68
RT Structure Set Storage,"Pre-dose, LEFT ADRENAL GLAND - 1",67
RT Structure Set Storage,"Pre-dose, PERITONEAL LYMPH NODE - 1",65
Segmentation Storage,AIMI lung and nodule AI segmentation,65
Grayscale Softcopy Presentation State Storage,Clunie^David,64
RT Structure Set Storage,"Pre-dose, MEDIASTINUM - 1 - SEED POINT",64
Comprehensive 3D SR Storage,Aquilion,63
RT Structure Set Storage,"Pre-Dose, LEFT KIDNEY - 1 - SEED POINT",62
RT Structure Set Storage,"Pre-dose, PARAAORTIC LYMPH NODE - 2",62
RT Structure Set Storage,"Pre-Dose, LEFT KIDNEY - 1",62
Segmentation Storage,Partially Annotated,61
Segmentation Storage,"Pre-dose, LIVER - 1",61
RT Structure Set Storage,"Pre-dose, RIGHT HILUM - 1 - SEED POINT",59
RT Structure Set Storage,"Pre-dose, RETROPERITONEUM - 1 - SEED POINT",59
RT Structure Set Storage,.simplified,59
Segmentation Storage,RiderCollectionOwner,59
Segmentation Storage,BAMF-Prostate-MR,58
Segmentation Storage,0,58
Comprehensive 3D SR Storage,TrioTim,57
RT Structure Set Storage,"Pre-dose, RIGHT ADRENAL GLAND - 1",57
Segmentation Storage,BAMF-Lung-FDG-PET-CT,57
RT Structure Set Storage,"Pre-dose, ABDOMINAL WALL - 1",56
Comprehensive 3D SR Storage,Mx8000,55
Segmentation Storage,AIMI Prostate Segmentation,53
Comprehensive SR Storage,QIBA CT 1B Round 2 Reader 3,52
Comprehensive SR Storage,QIBA CT 1B Round 2 Reader 1,52
Comprehensive SR Storage,QIBA CT 1B Round 2 Reader 5,52
Comprehensive SR Storage,QIBA CT 1B Round 2 Reader 2,52
