unit,objects,flagged,pct
lung_pet_ct_dx_annotations,1091,1091,100.0
prostatex_targets,345,345,100.0
tcga_gbm360,691,691,100.0
pan_cancer_nuclei_seg_dicom,356,356,100.0
tcga_sbu_til_maps,384,384,100.0
nlst_sybil,970,970,100.0
nnu_net_bpr_annotations,3290,2906,88.3283
rms_mutation_prediction_expert_annotations,357,261,73.1092
(null),5731,0,0.0
eay131_tumor_annotations,14779,0,0.0
dicom_sr_breast_clinical,1292,0,0.0
dicom_lidc_idri_nodules,384,0,0.0
cptac_ucec_tumor_annotations,617,0,0.0
cptac_ccrcc_tumor_annotations,636,0,0.0
cptac_pda_tumor_annotations,536,0,0.0
bamf_aimi_annotations,384,0,0.0
nlstseg,384,0,0.0
prostatex_seg_zones,98,0,0.0
prostatex_seg_hires,66,0,0.0
prostate_mri_us_biopsy_dicom_annotations,384,0,0.0
pancreas_ct_seg,80,0,0.0
rider_lungct_seg,118,0,0.0
qin_lungct_seg,378,0,0.0
qiba_volct_1b,1372,0,0.0
totalsegmentator_ct_segmentations,384,0,0.0
