unit,objects,flagged,pct
tcga_blca,52,52,100.0
tcga_coad,54,54,100.0
tcga_acc,18,18,100.0
tcga_thym,6,6,100.0
tcga_tgct,1,1,100.0
tcga_ucec,62,62,100.0
tcga_hnsc,21,21,100.0
tcga_gbm,740,740,100.0
tcga_esca,5,5,100.0
tcga_cesc,23,23,100.0
tcga_uvm,7,7,100.0
tcga_stad,40,40,100.0
tcga_skcm,31,31,100.0
tcga_read,28,28,100.0
tcga_sarc,7,7,100.0
tcga_prad,31,31,100.0
tcga_paad,11,11,100.0
tcga_ov,5,5,100.0
tcga_meso,8,8,100.0
lung_pet_ct_dx,1098,1091,99.3625
tcga_luad,61,60,98.3607
tcga_lusc,58,57,98.2759
nlst,4061,3048,75.0554
tcga_kirc,31,23,74.1935
rms_mutation_prediction,357,261,73.1092
prostatex,524,345,65.8397
tcga_lihc,26,15,57.6923
nsclc_radiomics,1513,828,54.7257
tcga_brca,290,126,43.4483
ct4harmonization_multicentric,252,0,0.0
ct_lymph_nodes,26,0,0.0
ct_phantom4radiomics,49,0,0.0
anti_pd_1_lung,3,0,0.0
advanced_mri_breast_lesions,21,0,0.0
adrenal_acc_ki67_seg,4,0,0.0
acrin_nsclc_fdg_pet,16,0,0.0
acrin_6698,77,0,0.0
4d_lung,800,0,0.0
cptac_ucec,617,0,0.0
cptac_pda,536,0,0.0
cptac_ccrcc,638,0,0.0
colorectal_liver_metastases,44,0,0.0
cc_tumor_heterogeneity,68,0,0.0
cc_radiomics_phantom_3,275,0,0.0
cc_radiomics_phantom,34,0,0.0
c4kc_kits,12,0,0.0
breast_mri_nact_pilot,220,0,0.0
breast_diagnosis,94,0,0.0
hcc_tace_seg,31,0,0.0
duke_breast_cancer_mri,79,0,0.0
dro_toolkit,1,0,0.0
rider_pilot,524,0,0.0
rider_lung_pet_ct,2,0,0.0
rider_lung_ct,1139,0,0.0
remind,59,0,0.0
qin_prostate_repeatability,8,0,0.0
qin_lung_ct,91,0,0.0
qin_breast_dce_mri,40,0,0.0
qin_breast,8,0,0.0
qiba_ct_1c,949,0,0.0
psma_pet_ct_lesions,384,0,0.0
prostate_mri_us_biopsy,427,0,0.0
prostate_anatomical_edge_cases,131,0,0.0
pancreatic_ct_cbct_seg,130,0,0.0
pediatric_ct_seg,359,0,0.0
pancreas_ct,80,0,0.0
nsclc_radiomics_interobserver1,25,0,0.0
eay131,14779,0,0.0
nsclc_radiogenomics,116,0,0.0
lung_phantom,108,0,0.0
mediastinal_lymph_node_seg,80,0,0.0
lidc_idri,474,0,0.0
ispy1,945,0,0.0
ispy2,135,0,0.0
lctsc,60,0,0.0
ct_vs_pet_ventilation_imaging,20,0,0.0
spie_aapm_lung_ct_challenge,3,0,0.0
soft_tissue_sarcoma,306,0,0.0
spine_mets_ct_seg,6,0,0.0
spinal_multiple_myeloma_seg,23,0,0.0
upenn_gbm,121,0,0.0
uw_cirp_mouse_pet_ct_nsclc,25,0,0.0
vestibular_schwannoma_seg,484,0,0.0
