writer,writer_version,sop_class,sop_class_uid,sop_instance_uid,validator,validator_build,message_class_id,message_template,severity_as_emitted,raw_example,iod_recognised_as,validator_returncode,arm,fixture,adjudication,basis
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG BINARY,1.2.840.10008.5.1.4.1.1.66.4,1.2.826.0.1.3680043.10.511.3.53279858359863007732440342207532793,dicom-validator,"dicom-validator 0.8.2, edition 2026c",6f01abd4f319,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0020,9116) (Plane Orientation Sequence) is unexpected",Segmentation IOD,6,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG BINARY,1.2.840.10008.5.1.4.1.1.66.4,1.2.826.0.1.3680043.10.511.3.53279858359863007732440342207532793,dicom-validator,"dicom-validator 0.8.2, edition 2026c",d81147d20e87,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0028,9110) (Pixel Measures Sequence) is unexpected",Segmentation IOD,6,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG BINARY,1.2.840.10008.5.1.4.1.1.66.4,1.2.826.0.1.3680043.10.511.3.53279858359863007732440342207532793,dicom-validator,"dicom-validator 0.8.2, edition 2026c",f782376ec325,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0008,9124) (Derivation Image Sequence) is unexpected",Segmentation IOD,6,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG BINARY,1.2.840.10008.5.1.4.1.1.66.4,1.2.826.0.1.3680043.10.511.3.53279858359863007732440342207532793,dicom-validator,"dicom-validator 0.8.2, edition 2026c",d0eabe730084,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9111) (Frame Content Sequence) is unexpected",Segmentation IOD,6,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG BINARY,1.2.840.10008.5.1.4.1.1.66.4,1.2.826.0.1.3680043.10.511.3.53279858359863007732440342207532793,dicom-validator,"dicom-validator 0.8.2, edition 2026c",380880930b44,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9113) (Plane Position Sequence) is unexpected",Segmentation IOD,6,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG BINARY,1.2.840.10008.5.1.4.1.1.66.4,1.2.826.0.1.3680043.10.511.3.53279858359863007732440342207532793,dicom-validator,"dicom-validator 0.8.2, edition 2026c",972394b5bb82,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Segment Identification Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0062,000A) (Segment Identification Sequence) is unexpected",Segmentation IOD,6,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG FRACTIONAL,1.2.840.10008.5.1.4.1.1.66.4,1.2.826.0.1.3680043.10.511.3.21667415077615376704205767044300594,dicom-validator,"dicom-validator 0.8.2, edition 2026c",6f01abd4f319,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0020,9116) (Plane Orientation Sequence) is unexpected",Segmentation IOD,6,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG FRACTIONAL,1.2.840.10008.5.1.4.1.1.66.4,1.2.826.0.1.3680043.10.511.3.21667415077615376704205767044300594,dicom-validator,"dicom-validator 0.8.2, edition 2026c",d81147d20e87,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0028,9110) (Pixel Measures Sequence) is unexpected",Segmentation IOD,6,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG FRACTIONAL,1.2.840.10008.5.1.4.1.1.66.4,1.2.826.0.1.3680043.10.511.3.21667415077615376704205767044300594,dicom-validator,"dicom-validator 0.8.2, edition 2026c",f782376ec325,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0008,9124) (Derivation Image Sequence) is unexpected",Segmentation IOD,6,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG FRACTIONAL,1.2.840.10008.5.1.4.1.1.66.4,1.2.826.0.1.3680043.10.511.3.21667415077615376704205767044300594,dicom-validator,"dicom-validator 0.8.2, edition 2026c",d0eabe730084,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9111) (Frame Content Sequence) is unexpected",Segmentation IOD,6,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
