writer,writer_version,sop_class,validator,message_class_id,severity_as_emitted,message_template,cell_single_writer,single_writer_reason,shared_with,cell_jaccard,cell_comparable,corpus_objects,corpus_context
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG BINARY,dciodvfy,,,"no message class drawn, this writer's floor for this cell is zero",no,,,0.0000,yes,,
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG BINARY,dicom-validator,380880930b44,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,no,,dcmqi,0.8571,yes,0,not observed in the census snapshot
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG BINARY,dicom-validator,6f01abd4f319,ERROR,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,no,,dcmqi,0.8571,yes,0,not observed in the census snapshot
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG BINARY,dicom-validator,972394b5bb82,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Segment Identification Sequence) is unexpected,no,,dcmqi,0.8571,yes,0,not observed in the census snapshot
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG BINARY,dicom-validator,d0eabe730084,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,no,,dcmqi,0.8571,yes,0,not observed in the census snapshot
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG BINARY,dicom-validator,d81147d20e87,ERROR,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,no,,dcmqi,0.8571,yes,691,Parametric Map Storage 691 of 691
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG BINARY,dicom-validator,f782376ec325,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,no,,dcmqi,0.8571,yes,0,not observed in the census snapshot
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG FRACTIONAL,dciodvfy,,,"no message class drawn, this writer's floor for this cell is zero",yes,"dcmqi itkimage2segimage offers --segmentationType <binary|labelmap> only. It has no FRACTIONAL code path, so FRACTIONAL is a highdicom-only cell.",,n/a,"no, dcmqi cannot emit it",,
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG FRACTIONAL,dicom-validator,380880930b44,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,yes,"dcmqi itkimage2segimage offers --segmentationType <binary|labelmap> only. It has no FRACTIONAL code path, so FRACTIONAL is a highdicom-only cell.","neither, this writer only",n/a,"no, dcmqi cannot emit it",0,not observed in the census snapshot
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG FRACTIONAL,dicom-validator,6f01abd4f319,ERROR,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,yes,"dcmqi itkimage2segimage offers --segmentationType <binary|labelmap> only. It has no FRACTIONAL code path, so FRACTIONAL is a highdicom-only cell.","neither, this writer only",n/a,"no, dcmqi cannot emit it",0,not observed in the census snapshot
highdicom,highdicom 0.28.1 on pydicom 3.0.2,SEG FRACTIONAL,dicom-validator,972394b5bb82,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Segment Identification Sequence) is unexpected,yes,"dcmqi itkimage2segimage offers --segmentationType <binary|labelmap> only. It has no FRACTIONAL code path, so FRACTIONAL is a highdicom-only cell.","neither, this writer only",n/a,"no, dcmqi cannot emit it",0,not observed in the census snapshot
