sop_class_name,analysis_result_id,objects,first_level_identity_appears,level_name,identifying_value,version_at_that_level,version_value,version_found_in,in_object,level_1,level_2,level_3,level_4,level_5,levels_where_identity_appears
Comprehensive 3D SR Storage,nlst_sybil,970,1,equipment attributes,Sybil,no,none,"not applicable, no version appears",yes,yes,no,no,no,no,1
Parametric Map Storage,tcga_gbm360,691,1,equipment attributes,GBM360,no,none,"not applicable, no version appears",yes,yes,no,no,yes,yes,"1, 4, 5"
Grayscale Softcopy Presentation State Storage,qiba_volct_1b,624,1,equipment attributes,DIRS2,yes,2.3,2.3:Win64_072712,yes,yes,no,no,no,no,1
Comprehensive SR Storage,(null),462,1,equipment attributes,DIRS2,no,none,"not applicable, no version appears",yes,yes,no,no,no,no,1
Segmentation Storage,qiba_volct_1b,384,1,equipment attributes,DIRS2,yes,2.3,2.3:Win64_072712,yes,yes,no,no,no,no,1
Comprehensive SR Storage,qiba_volct_1b,364,1,equipment attributes,LocationDesignatorSynthesizer,yes,2.3,2.3:Win64_072712,yes,yes,no,no,no,no,1
Segmentation Storage,pan_cancer_nuclei_seg_dicom,356,1,equipment attributes,Pan-Cancer-Nuclei-Seg,no,none,"not applicable, no version appears",yes,yes,no,no,yes,no,"1, 4"
Segmentation Storage,rms_mutation_prediction_expert_annotations,261,1,equipment attributes,FNLCR_IVG_RMS_iou_0.7343_0.7175_epoch_60,no,none,"not applicable, no version appears",yes,yes,no,no,yes,no,"1, 4"
Segmentation Storage,nnu_net_bpr_annotations,384,3,SeriesDescription and ContentCreatorName,3d_lowres-tta_nnU-Net_Segmentation,no,none,"not applicable, no version appears",yes,no,no,yes,yes,no,"3, 4"
Segmentation Storage,totalsegmentator_ct_segmentations,384,3,SeriesDescription and ContentCreatorName,TotalSegmentator(v1.5.6) Segmentation of Series 5,yes,v1.5.6,TotalSegmentator(v1.5.6) Segmentation of Series 5,yes,no,no,yes,yes,yes,"3, 4, 5"
Segmentation Storage,(null),1632,4,in-object algorithm carriers,nnUNet,no,none,"not applicable, no version appears",yes,no,no,no,yes,no,4
RT Structure Set Storage,eay131_tumor_annotations,14395,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
RT Structure Set Storage,(null),3115,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,2906,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
Comprehensive SR Storage,dicom_sr_breast_clinical,1292,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,1091,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
RT Structure Set Storage,cptac_ccrcc_tumor_annotations,636,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
RT Structure Set Storage,cptac_ucec_tumor_annotations,617,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
RT Structure Set Storage,cptac_pda_tumor_annotations,536,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
Grayscale Softcopy Presentation State Storage,(null),462,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
Segmentation Storage,bamf_aimi_annotations,384,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
Segmentation Storage,dicom_lidc_idri_nodules,384,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
Segmentation Storage,eay131_tumor_annotations,384,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
Segmentation Storage,nlstseg,384,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
Segmentation Storage,prostate_mri_us_biopsy_dicom_annotations,384,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
Segmentation Storage,tcga_sbu_til_maps,384,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
Segmentation Storage,qin_lungct_seg,378,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
Comprehensive 3D SR Storage,prostatex_targets,345,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
Segmentation Storage,prostatex_seg_zones,98,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
Comprehensive 3D SR Storage,rms_mutation_prediction_expert_annotations,96,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
Segmentation Storage,pancreas_ct_seg,80,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
Segmentation Storage,prostatex_seg_hires,66,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
RT Structure Set Storage,rider_lungct_seg,59,none,identity does not appear at any level,no value at any level,no,none,"not applicable, no version appears","not applicable, identity appears nowhere",no,no,no,no,no,none
