analysis_result_id,series,L1_dicom,L2_contributingequipmentsequence,L3_free-text,L4_idc,first_informative_level,version_in_free_text,version_example
totalsegmentator_ct_segmentations,378153,no producer token,"not in index, Phase 2",NLST-ACRIN,10.5281/zenodo.8347011,3,True,v1.5.6
tcga_sbu_til_maps,21030,Stony Brook University converted by Imaging Data Commons,"not in index, Phase 2",Histopathology,10.5281/zenodo.16966285,1,False,
eay131_tumor_annotations,15799,OHIF-XNAT Viewer 3.2.0,"not in index, Phase 2",70553_MRI_Brain_w__w_o_Contrast,10.7937/q9rn-m510,1,False,
dicom_lidc_idri_nodules,13718,no producer token,"not in index, Phase 2",C/A/P POST,10.7937/tcia.2018.h7umfurq,3,False,
bamf_aimi_annotations,8202,no producer token,"not in index, Phase 2",*CT ABDOMEN,10.5281/zenodo.8345959,3,False,
nnu_net_bpr_annotations,7817,IDC,"not in index, Phase 2",2d-tta_nnU-Net_Measurements,10.5281/zenodo.7473970,1,False,
pan_cancer_nuclei_seg_dicom,6074,Pan-Cancer-Nuclei-Seg,"not in index, Phase 2",Histopathology,10.5281/zenodo.11099004,1,False,
prostate_mri_us_biopsy_dicom_annotations,2328,no producer token,"not in index, Phase 2",MR ABD OUTSIDE IMAGING,10.5281/zenodo.10069910,3,False,
nlstseg,1803,no producer token,"not in index, Phase 2",NLST-ACRIN,10.5281/zenodo.17362624,3,False,
qiba_volct_1b,1508,"CoreLab Partners, Inc.","not in index, Phase 2",Lesion Designator,10.7937/tcia.2020.1c3h-vp70,1,False,
dicom_sr_breast_clinical,1292,PixelMed,"not in index, Phase 2",*MRI - BREAST,10.7937/tcia.2019.wgllssg1,1,False,
lung_pet_ct_dx_annotations,1091,Expert annotation from TCIA,"not in index, Phase 2",5mm chest,10.5281/zenodo.16989819,1,False,
nlst_sybil,970,Sybil,"not in index, Phase 2",NLST-ACRIN,10.5281/zenodo.15643334,1,False,
tcga_gbm360,691,GBM360,"not in index, Phase 2",Aggressiveness Score Map,10.5281/zenodo.17470190,1,False,
cptac_ccrcc_tumor_annotations,636,OHIF-XNAT Viewer 3.2.0,"not in index, Phase 2","06. Chest, Abdomen CE",10.7937/skq4-qx48,1,False,
cptac_ucec_tumor_annotations,617,OHIF-XNAT Viewer 3.2.0,"not in index, Phase 2",Abdomen 3 phase,10.7937/89m3-kq43,1,False,
cptac_pda_tumor_annotations,536,OHIF-XNAT Viewer 3.2.0,"not in index, Phase 2",ABDOMEN^UPPER,10.7937/bw9v-bx61,1,False,
qin_lungct_seg,378,3D Slicer Community,"not in index, Phase 2",CHEST,10.7937/k9/tcia.2015.1buvfjr7,1,False,
prostatex_targets,345,IDC,"not in index, Phase 2",MC prostaat kliniek detectie-mc MCPROSKL30,10.5281/zenodo.15643312,1,False,
rms_mutation_prediction_expert_annotations,193,Aperio ImageScope converted with highdicom,"not in index, Phase 2",AI Model Tissue Segmentations,10.5281/zenodo.10462857,1,False,
rider_lungct_seg,118,ARIA RadOnc,"not in index, Phase 2",RETEST,10.7937/tcia.2020.jit9grk8,1,False,
