analysis_result_id,series,instances,size_MB,collections,patients,size_GB,mean_MB_per_series,sop_classes
totalsegmentator_ct_segmentations,378153,378153,14328227.083768,1,26194,13992.409,37.89,Enhanced SR Storage | Segmentation Storage
tcga_sbu_til_maps,21030,21030,2041.908918,23,7600,1.994,0.097,Segmentation Storage
(null),18207,18207,90614.81395,38,5220,88.491,4.977,Comprehensive SR Storage | Enhanced SR Storage | Grayscale Softcopy Presentation State Storage | Key Object Selection Document Storage | RT Structure Set Storage | Real World Value Mapping Storage | Segmentation Storage
eay131_tumor_annotations,15799,15799,1117.029418,1,2487,1.091,0.071,RT Structure Set Storage | Segmentation Storage
dicom_lidc_idri_nodules,13718,13718,2512.845006,1,875,2.454,0.183,Enhanced SR Storage | Segmentation Storage
bamf_aimi_annotations,8202,8202,26878.723582,22,4226,26.249,3.277,Segmentation Storage
nnu_net_bpr_annotations,7817,7817,22005.298966,2,985,21.49,2.815,Comprehensive 3D SR Storage | Enhanced SR Storage | Segmentation Storage
pan_cancer_nuclei_seg_dicom,6074,28887,5146239.801514,14,5184,5025.625,847.257,Segmentation Storage
prostate_mri_us_biopsy_dicom_annotations,2328,2328,1414.714818,1,842,1.382,0.608,Segmentation Storage
nlstseg,1803,1803,396.970312,1,601,0.388,0.22,Enhanced SR Storage | Segmentation Storage
qiba_volct_1b,1508,1508,367.202432,2,40,0.359,0.244,Comprehensive SR Storage | Grayscale Softcopy Presentation State Storage | Segmentation Storage
dicom_sr_breast_clinical,1292,1292,9.923786,4,474,0.01,0.008,Comprehensive SR Storage
lung_pet_ct_dx_annotations,1091,1091,53.127838,1,354,0.052,0.049,Comprehensive 3D SR Storage
nlst_sybil,970,970,17.832686,1,581,0.017,0.018,Comprehensive 3D SR Storage
tcga_gbm360,691,691,363.39053,1,336,0.355,0.526,Parametric Map Storage
cptac_ccrcc_tumor_annotations,636,636,28.613576000000002,1,60,0.028,0.045,RT Structure Set Storage
cptac_ucec_tumor_annotations,617,617,34.779317999999996,1,72,0.034,0.056,RT Structure Set Storage
cptac_pda_tumor_annotations,536,536,14.553938,1,103,0.014,0.027,RT Structure Set Storage
qin_lungct_seg,378,378,2834.014604,4,31,2.768,7.497,Segmentation Storage
prostatex_targets,345,345,2.180374,1,345,0.002,0.006,Comprehensive 3D SR Storage
rms_mutation_prediction_expert_annotations,193,357,6978.243098,1,96,6.815,36.157,Comprehensive 3D SR Storage | Segmentation Storage
rider_lungct_seg,118,118,956.68606,1,31,0.934,8.108,RT Structure Set Storage | Segmentation Storage
prostatex_seg_zones,98,98,149.443556,1,98,0.146,1.525,Segmentation Storage
pancreas_ct_seg,80,80,229.507418,1,80,0.224,2.869,Segmentation Storage
prostatex_seg_hires,66,66,125.170204,1,66,0.122,1.897,Segmentation Storage
