license_short_name,sop_class_name,series,instances
CC BY 4.0,Enhanced SR Storage,256024,256024
CC BY 4.0,Segmentation Storage,177769,200746
CC BY 4.0,RT Structure Set Storage,17381,17381
CC BY 3.0,Segmentation Storage,11808,11808
CC BY 3.0,Enhanced SR Storage,6859,6859
CC BY 4.0,Comprehensive 3D SR Storage,5408,5408
CC BY 3.0,Comprehensive SR Storage,1754,1754
CC BY 3.0,RT Structure Set Storage,1534,1534
CC BY 4.0,Parametric Map Storage,691,691
CC BY 4.0,Grayscale Softcopy Presentation State Storage,624,624
CC BY 3.0,Grayscale Softcopy Presentation State Storage,462,462
CC BY-NC 3.0,RT Structure Set Storage,443,443
CC BY-NC 3.0,Segmentation Storage,442,442
CC BY 4.0,Comprehensive SR Storage,364,364
CC BY-NC 4.0,Segmentation Storage,127,127
CC BY 3.0,Key Object Selection Document Storage,40,40
CC BY 4.0,Real World Value Mapping Storage,20,20
