collection_id,series,flagged,analysis_results,pct
nlst,386226,383178,5,99.21
eay131,15799,1404,1,8.89
lidc_idri,13808,13808,2,100.0
nsclc_radiomics,4504,3254,1,72.25
tcga_brca,4388,0,3,0.0
ispy1,3413,0,1,0.0
prostate_mri_us_biopsy,3226,3226,2,100.0
ispy2,2688,0,0,0.0
upenn_gbm,2384,2384,1,100.0
acrin_6698,2213,0,0,0.0
tcga_luad,2085,36,3,1.73
tcga_ucec,2069,0,2,0.0
tcga_lusc,1849,30,3,1.62
tcga_coad,1784,0,2,0.0
tcga_skcm,1763,0,2,0.0
tcga_stad,1576,0,2,0.0
tcga_prad,1570,0,2,0.0
tcga_blca,1520,0,2,0.0
rider_lung_ct,1511,524,3,34.68
tcga_gbm,1462,0,2,0.0
qiba_ct_1c,1386,0,0,0.0
ct4harmonization_multicentric,1378,1378,0,100.0
lung_pet_ct_dx,1311,220,2,16.78
tcga_kirc,1211,183,2,15.11
tcga_cesc,1029,0,2,0.0
duke_breast_cancer_mri,1024,1024,1,100.0
breast_mri_nact_pilot,945,0,1,0.0
tcga_hnsc,900,0,1,0.0
tcga_lihc,899,169,2,18.8
prostatex,856,511,4,59.7
4d_lung,800,0,0,0.0
tcga_paad,758,0,2,0.0
cptac_ccrcc,673,37,2,5.5
tcga_read,651,0,2,0.0
tcga_acc,646,0,1,0.0
cptac_ucec,617,0,1,0.0
psma_pet_ct_lesions,597,597,0,100.0
rider_pilot,580,0,1,0.0
cptac_pda,536,0,1,0.0
nsclc_radiogenomics,515,467,1,90.68
mediastinal_lymph_node_seg,513,513,0,100.0
tcga_sarc,508,0,1,0.0
vestibular_schwannoma_seg,484,0,0,0.0
hcc_tace_seg,448,448,1,100.0
colorectal_liver_metastases,421,421,1,100.0
acrin_nsclc_fdg_pet,385,385,1,100.0
pediatric_ct_seg,359,0,0,0.0
remind,356,356,0,100.0
tcga_meso,350,0,1,0.0
tcga_esca,312,0,1,0.0
tcga_tgct,308,0,1,0.0
soft_tissue_sarcoma,306,0,0,0.0
tcga_uvm,285,0,2,0.0
cc_radiomics_phantom_3,275,0,0,0.0
tcga_thym,242,0,1,0.0
ct_phantom4radiomics,238,238,0,100.0
tcga_ov,212,0,1,0.0
c4kc_kits,210,0,0,0.0
rms_mutation_prediction,193,96,1,49.74
qin_prostate_repeatability,180,180,0,100.0
ct_lymph_nodes,176,176,0,100.0
spinal_multiple_myeloma_seg,144,144,0,100.0
qin_lung_ct,143,143,2,100.0
anti_pd_1_lung,142,142,1,100.0
prostate_anatomical_edge_cases,131,0,0,0.0
pancreatic_ct_cbct_seg,130,0,0,0.0
qin_breast,123,123,1,100.0
lung_phantom,108,108,1,100.0
rider_lung_pet_ct,106,106,1,100.0
advanced_mri_breast_lesions,99,99,0,100.0
breast_diagnosis,94,0,1,0.0
pancreas_ct,80,80,1,100.0
spie_aapm_lung_ct_challenge,76,76,1,100.0
cc_tumor_heterogeneity,68,0,0,0.0
lctsc,60,0,0,0.0
spine_mets_ct_seg,55,55,0,100.0
adrenal_acc_ki67_seg,53,53,0,100.0
nsclc_radiomics_interobserver1,42,21,0,50.0
qin_breast_dce_mri,40,0,0,0.0
cc_radiomics_phantom,34,0,0,0.0
dro_toolkit,32,0,0,0.0
uw_cirp_mouse_pet_ct_nsclc,25,0,0,0.0
ct_vs_pet_ventilation_imaging,20,0,0,0.0
tcga_kirp,19,19,1,100.0
tcga_kich,15,15,1,100.0
