collection_id,series_removed,series_remaining,pct_after_removal,shift_from_full,unit,analysis_result_id
nlst,386226,95524,34.81,-51.63,collection,
eay131,15799,465951,89.07,2.63,collection,
lidc_idri,13808,467942,86.04,-0.4,collection,
nsclc_radiomics,4504,477246,86.57,0.13,collection,
tcga_brca,4388,477362,87.24,0.79,collection,
ispy1,3413,478337,87.06,0.62,collection,
prostate_mri_us_biopsy,3226,478524,86.35,-0.09,collection,
ispy2,2688,479062,86.93,0.49,collection,
upenn_gbm,2384,479366,86.37,-0.07,collection,
acrin_6698,2213,479537,86.84,0.4,collection,
tcga_luad,2085,479665,86.81,0.37,collection,
tcga_ucec,2069,479681,86.81,0.37,collection,
,378153,103597,36.95,-49.5,analysis_result,totalsegmentator_ct_segmentations
,21030,460720,90.39,3.95,analysis_result,tcga_sbu_til_maps
,18207,463543,88.73,2.29,analysis_result,(null)
,15799,465951,89.07,2.63,analysis_result,eay131_tumor_annotations
,13718,468032,86.04,-0.4,analysis_result,dicom_lidc_idri_nodules
,8202,473548,86.21,-0.23,analysis_result,bamf_aimi_annotations
,7817,473933,86.83,0.39,analysis_result,nnu_net_bpr_annotations
,6074,475676,87.54,1.1,analysis_result,pan_cancer_nuclei_seg_dicom
