analysis_result_id,series,null,empty,populated,distinct_values,pct_populated,attribute
totalsegmentator_ct_segmentations,378153,0,0,378153,1,100.0,Manufacturer
tcga_sbu_til_maps,21030,0,0,21030,1,100.0,Manufacturer
(null),18207,315,0,17892,19,98.27,Manufacturer
eay131_tumor_annotations,15799,0,0,15799,2,100.0,Manufacturer
dicom_lidc_idri_nodules,13718,0,0,13718,1,100.0,Manufacturer
bamf_aimi_annotations,8202,0,0,8202,1,100.0,Manufacturer
nnu_net_bpr_annotations,7817,0,0,7817,2,100.0,Manufacturer
pan_cancer_nuclei_seg_dicom,6074,0,0,6074,1,100.0,Manufacturer
prostate_mri_us_biopsy_dicom_annotations,2328,0,0,2328,1,100.0,Manufacturer
nlstseg,1803,0,0,1803,1,100.0,Manufacturer
qiba_volct_1b,1508,104,0,1404,2,93.1,Manufacturer
dicom_sr_breast_clinical,1292,0,0,1292,1,100.0,Manufacturer
lung_pet_ct_dx_annotations,1091,0,0,1091,1,100.0,Manufacturer
nlst_sybil,970,0,0,970,1,100.0,Manufacturer
tcga_gbm360,691,0,0,691,1,100.0,Manufacturer
cptac_ccrcc_tumor_annotations,636,0,0,636,1,100.0,Manufacturer
cptac_ucec_tumor_annotations,617,0,0,617,1,100.0,Manufacturer
cptac_pda_tumor_annotations,536,0,0,536,1,100.0,Manufacturer
qin_lungct_seg,378,0,0,378,1,100.0,Manufacturer
prostatex_targets,345,0,0,345,1,100.0,Manufacturer
rms_mutation_prediction_expert_annotations,193,0,0,193,2,100.0,Manufacturer
rider_lungct_seg,118,0,0,118,2,100.0,Manufacturer
prostatex_seg_zones,98,0,0,98,1,100.0,Manufacturer
pancreas_ct_seg,80,0,0,80,1,100.0,Manufacturer
prostatex_seg_hires,66,0,0,66,1,100.0,Manufacturer
totalsegmentator_ct_segmentations,378153,0,0,378153,1,100.0,ManufacturerModelName
tcga_sbu_til_maps,21030,0,0,21030,2,100.0,ManufacturerModelName
(null),18207,522,0,17685,47,97.13,ManufacturerModelName
eay131_tumor_annotations,15799,0,0,15799,2,100.0,ManufacturerModelName
dicom_lidc_idri_nodules,13718,0,0,13718,1,100.0,ManufacturerModelName
bamf_aimi_annotations,8202,0,0,8202,1,100.0,ManufacturerModelName
nnu_net_bpr_annotations,7817,2906,0,4911,1,62.82,ManufacturerModelName
pan_cancer_nuclei_seg_dicom,6074,0,0,6074,1,100.0,ManufacturerModelName
prostate_mri_us_biopsy_dicom_annotations,2328,0,0,2328,1,100.0,ManufacturerModelName
nlstseg,1803,0,0,1803,1,100.0,ManufacturerModelName
qiba_volct_1b,1508,104,0,1404,2,93.1,ManufacturerModelName
dicom_sr_breast_clinical,1292,0,0,1292,1,100.0,ManufacturerModelName
lung_pet_ct_dx_annotations,1091,1091,0,0,0,0.0,ManufacturerModelName
nlst_sybil,970,970,0,0,0,0.0,ManufacturerModelName
tcga_gbm360,691,0,0,691,1,100.0,ManufacturerModelName
cptac_ccrcc_tumor_annotations,636,0,0,636,1,100.0,ManufacturerModelName
cptac_ucec_tumor_annotations,617,0,0,617,1,100.0,ManufacturerModelName
cptac_pda_tumor_annotations,536,0,0,536,1,100.0,ManufacturerModelName
qin_lungct_seg,378,0,0,378,1,100.0,ManufacturerModelName
prostatex_targets,345,345,0,0,0,0.0,ManufacturerModelName
rms_mutation_prediction_expert_annotations,193,0,0,193,2,100.0,ManufacturerModelName
rider_lungct_seg,118,0,0,118,2,100.0,ManufacturerModelName
prostatex_seg_zones,98,0,0,98,1,100.0,ManufacturerModelName
pancreas_ct_seg,80,0,0,80,1,100.0,ManufacturerModelName
prostatex_seg_hires,66,0,0,66,1,100.0,ManufacturerModelName
