attribute,value,series,pct_of_derived,category,rule
Manufacturer,QIICR,412075,85.5371,encoder,QIICR
Manufacturer,Stony Brook University converted by Imaging Data Commons,21030,4.3653,conversion,converted by IDC
Manufacturer,Open Health Imaging Foundation,16184,3.3594,institution,Open Health Imaging Foundation
Manufacturer,Stony Brook University,6074,1.2608,institution,Stony Brook University
Manufacturer,GE MEDICAL SYSTEMS,5853,1.2149,acquisition_vendor,GE
Manufacturer,IDC,3251,0.6748,conversion,IDC
Manufacturer,highdicom,2001,0.4154,encoder,highdicom
Manufacturer,pydicom-seg,1991,0.4133,encoder,pydicom-seg
Manufacturer,SIEMENS,1838,0.3815,acquisition_vendor,Siemens
Manufacturer,Siemens Corporate Research,1762,0.3657,acquisition_vendor,Siemens
Manufacturer,PixelMed,1292,0.2682,encoder,PixelMed
Manufacturer,Expert annotation from TCIA,1091,0.2265,institution,TCIA expert annotation
Manufacturer,Varian Medical Systems,992,0.2059,acquisition_vendor,Varian
Manufacturer,Sybil,970,0.2013,named_analysis,Sybil
Manufacturer,ADAC,834,0.1731,acquisition_vendor,ADAC
Manufacturer,Philips Medical Systems,762,0.1582,acquisition_vendor,Philips
Manufacturer,Gevaert Lab Converted By Imaging Data Commons,691,0.1434,conversion,converted by IDC
Manufacturer,MIM Software Inc.,563,0.1169,application,MIM
Manufacturer,Philips,504,0.1046,acquisition_vendor,Philips
Manufacturer,Elekta,484,0.1005,acquisition_vendor,Elekta
Manufacturer,3D Slicer Community,474,0.0984,application,3D Slicer
Manufacturer,(null),419,0.087,absent,null
Manufacturer,TOSHIBA,168,0.0349,acquisition_vendor,Toshiba
Manufacturer,"CoreLab Partners, Inc.",104,0.0216,acquisition_vendor,CoreLab Partners
Manufacturer,NCI/FNLCR,97,0.0201,institution,NCI/FNLCR
Manufacturer,Leica Biosystems,96,0.0199,acquisition_vendor,Leica
Manufacturer,Stanford University,80,0.0166,institution,Stanford
Manufacturer,PMOD Technologies,25,0.0052,acquisition_vendor,PMOD
Manufacturer,Philips Healthcare,24,0.005,acquisition_vendor,Philips
Manufacturer,https://github.com/QIICR/Slicer-SUVFactorCalculator,20,0.0042,encoder,SUVFactorCalculator
Manufacturer,Plastimatch,1,0.0002,encoder,plastimatch
ManufacturerModelName,https://github.com/QIICR/dcmqi,380712,79.0269,encoder,dcmqi
ManufacturerModelName,https://github.com/QIICR/dcmqi.git,16668,3.4599,encoder,dcmqi
ManufacturerModelName,OHIF-XNAT Viewer 3.2.0,16184,3.3594,application,OHIF
ManufacturerModelName,TIL Inception-V4 2022 converted by Imaging Data Commons,15868,3.2938,conversion,converted by IDC
