stratum,writer,analysis_result,series,instances,size_MB,size_GB,mean_MB,sd_MB,collections,largest_collection_pct,patients,has_floor,floor_measured,n,byte_cap_MB,expected_MB,expected_GB,sampling_fraction,allocation_rule,reporting_rule
dcmqi / totalsegmentator_ct_segmentations,dcmqi,totalsegmentator_ct_segmentations,126051,126051,14187096.758054,13854.586677787109,112.5504498818256,41.47057734529096,1,100.0,26194,True,yes,384,64391.542,43219.37275462103,42.2064187056846,0.003046,"registered minimum, n = 384",rate with Wilson interval
not identifiable from index / tcga_sbu_til_maps,not identifiable from index,tcga_sbu_til_maps,21030,21030,2041.908918,1.994051677734375,0.09709505078459345,0.08936684439513416,23,14.92,7600,False,no,384,64391.542,37.28449950128388,0.03641064404422254,0.01826,"registered minimum, n = 384",rate with Wilson interval
not identifiable from index / (null),not identifiable from index,(null),8977,8977,47937.229546,46.81370072851563,5.340005519215774,6.048337994701441,8,29.94,1666,False,no,384,64391.542,2050.5621193788575,2.0025020697059155,0.042776,"registered minimum, n = 384",rate with Wilson interval
dcmqi / bamf_aimi_annotations,dcmqi,bamf_aimi_annotations,8202,8202,26878.723582,26.248753498046874,3.2770938285783955,3.9430900263848963,22,29.07,4226,True,yes,384,64391.542,1258.4040301741038,1.2289101857168983,0.046818,"registered minimum, n = 384",rate with Wilson interval
dcmqi / dicom_lidc_idri_nodules,dcmqi,dicom_lidc_idri_nodules,6859,6859,1358.147576,1.3263159921875,0.19800956057734365,0.16591133632609842,1,100.0,875,True,yes,384,64391.542,76.03567126169996,0.07425358521650387,0.055985,"registered minimum, n = 384",rate with Wilson interval
not identifiable from index / pan_cancer_nuclei_seg_dicom,not identifiable from index,pan_cancer_nuclei_seg_dicom,6074,28887,5146239.801514,5025.624806166015,847.2571289947316,511.5837449970262,14,17.88,5184,False,no,75,64391.542,63544.28467460487,62.054965502543816,0.012348,"byte capped at 64392 MB, below the registered minimum","rate with Wilson interval, below-registered-n flag"
dcmqi / (null),dcmqi,(null),2357,2357,23255.998959999997,22.710936484374997,9.866779363597793,14.372883199271206,13,21.76,1963,True,yes,384,64391.542,3788.8432756215525,3.7000422613491724,0.162919,"registered minimum, n = 384",rate with Wilson interval
dcmqi / prostate_mri_us_biopsy_dicom_annotations,dcmqi,prostate_mri_us_biopsy_dicom_annotations,2328,2328,1414.714818,1.381557439453125,0.607695368556701,0.32903318933757053,1,100.0,842,True,yes,384,64391.542,233.3550215257732,0.2278857632087629,0.164948,"registered minimum, n = 384",rate with Wilson interval
dcmqi / nnu_net_bpr_annotations,dcmqi,nnu_net_bpr_annotations,2281,2281,21334.022015999995,20.834005874999995,9.352925039894782,2.786528206416106,2,54.45,985,True,yes,384,64391.542,3591.523215319596,3.507346889960543,0.168347,"registered minimum, n = 384",rate with Wilson interval
pydicom-seg / (null),pydicom-seg,(null),1991,1991,8222.040396,8.02933632421875,4.129603413360121,1.8690176710684625,3,69.21,34,False,no,384,64391.542,1585.7677107302864,1.5486012800100453,0.192868,"registered minimum, n = 384",rate with Wilson interval
highdicom / eay131_tumor_annotations,highdicom,eay131_tumor_annotations,1404,1404,692.2456679999999,0.6760211601562499,0.49305247008547004,0.6202316797090409,1,100.0,438,True,yes,384,64391.542,189.33214851282048,0.18489467628205125,0.273504,"registered minimum, n = 384",rate with Wilson interval
