writer,sop_class,variant,variant_title,validator,message_class_id,message_template,severity_as_emitted,sop_instance_uid,not_applicable,not_applicable_reason,validator_returncode,object_file
highdicom,SEG BINARY,V0,baseline as emitted,dciodvfy,,,,1.2.826.0.1.3680043.10.511.3.53279858359863007732440342207532793,False,,0,D:\Radiology\Colophon\_cache\fixture\w1\seg_binary.dcm
highdicom,SEG BINARY,V0,baseline as emitted,dicom-validator,6f01abd4f319,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,ERROR,1.2.826.0.1.3680043.10.511.3.53279858359863007732440342207532793,False,,6,D:\Radiology\Colophon\_cache\fixture\w1\seg_binary.dcm
highdicom,SEG BINARY,V0,baseline as emitted,dicom-validator,d81147d20e87,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,ERROR,1.2.826.0.1.3680043.10.511.3.53279858359863007732440342207532793,False,,6,D:\Radiology\Colophon\_cache\fixture\w1\seg_binary.dcm
highdicom,SEG BINARY,V0,baseline as emitted,dicom-validator,f782376ec325,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,ERROR,1.2.826.0.1.3680043.10.511.3.53279858359863007732440342207532793,False,,6,D:\Radiology\Colophon\_cache\fixture\w1\seg_binary.dcm
highdicom,SEG BINARY,V0,baseline as emitted,dicom-validator,d0eabe730084,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,ERROR,1.2.826.0.1.3680043.10.511.3.53279858359863007732440342207532793,False,,6,D:\Radiology\Colophon\_cache\fixture\w1\seg_binary.dcm
highdicom,SEG BINARY,V0,baseline as emitted,dicom-validator,380880930b44,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,ERROR,1.2.826.0.1.3680043.10.511.3.53279858359863007732440342207532793,False,,6,D:\Radiology\Colophon\_cache\fixture\w1\seg_binary.dcm
highdicom,SEG BINARY,V0,baseline as emitted,dicom-validator,972394b5bb82,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Segment Identification Sequence) is unexpected,ERROR,1.2.826.0.1.3680043.10.511.3.53279858359863007732440342207532793,False,,6,D:\Radiology\Colophon\_cache\fixture\w1\seg_binary.dcm
highdicom,SEG BINARY,V0R,"round-trip control, pydicom read and re-save, no change",dciodvfy,,,,1.2.826.0.1.3680043.10.511.3.53279858359863007732440342207532793,False,,0,D:\Radiology\Colophon\_cache\fixture\variants\w1\seg_binary\V0R.dcm
highdicom,SEG BINARY,V0R,"round-trip control, pydicom read and re-save, no change",dicom-validator,6f01abd4f319,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,ERROR,1.2.826.0.1.3680043.10.511.3.53279858359863007732440342207532793,False,,6,D:\Radiology\Colophon\_cache\fixture\variants\w1\seg_binary\V0R.dcm
highdicom,SEG BINARY,V0R,"round-trip control, pydicom read and re-save, no change",dicom-validator,d81147d20e87,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,ERROR,1.2.826.0.1.3680043.10.511.3.53279858359863007732440342207532793,False,,6,D:\Radiology\Colophon\_cache\fixture\variants\w1\seg_binary\V0R.dcm
