validator,message_class_id,message_template,severity_as_emitted,objects,adjudication,rule,citation_section,citation_table,citation_quote,rationale
dciodvfy,815f5dab3ba7,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Warning,5312,NOT-IOD,DICOMDIR,PS3.3 Section F.5.2 Study Directory Record Definition; PS3.3 Section C.7.2.1 General Study Module,PS3.3 Table F.5-2 Study Keys; PS3.3 Table C.7-3 General Study Module Attributes,"PS3.3 Table C.7-3, row ""Study ID"", tag (0020,0010), Type 2: ""User or equipment generated Study identifier."" Row ""Study Time"", tag (0008,0030), Type 2: ""Time the Study started.""","The canonical NOT-IOD case named in the rubric. The attributes are wanted for a Study Directory Record of the Basic Directory IOD, which is the DICOMDIR, an object this study does not build and IDC does not distribute. Both are Type 2 in the module the Comprehensive 3D SR IOD actually includes, so a zero length value satisfies them, and dciodvfy raised no Type 2 message against either attribute on any object in this class. dciodvfy says in the message text that this is about building a DICOMDIR, emits it at Warning severity, and names no Type."
dciodvfy,4a71864409dc,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study Time,Warning,3178,NOT-IOD,DICOMDIR,PS3.3 Section F.5.2 Study Directory Record Definition; PS3.3 Section C.7.2.1 General Study Module,PS3.3 Table F.5-2 Study Keys; PS3.3 Table C.7-3 General Study Module Attributes,"PS3.3 Table C.7-3, row ""Study ID"", tag (0020,0010), Type 2: ""User or equipment generated Study identifier."" Row ""Study Time"", tag (0008,0030), Type 2: ""Time the Study started.""","The canonical NOT-IOD case named in the rubric. The attributes are wanted for a Study Directory Record of the Basic Directory IOD, which is the DICOMDIR, an object this study does not build and IDC does not distribute. Both are Type 2 in the module the Comprehensive 3D SR IOD actually includes, so a zero length value satisfies them, and dciodvfy raised no Type 2 message against either attribute on any object in this class. dciodvfy says in the message text that this is about building a DICOMDIR, emits it at Warning severity, and names no Type."
dciodvfy,5f2ebd7be984,Error - Missing attribute Type 2 Required Element=<ClinicalTrialSiteName> Module=<ClinicalTrialSubject>,Error,935,NET,CT_SUBJECT_TYPE2,PS3.3 Section C.7.1.3 Clinical Trial Subject Module; PS3.3 Section A.1.3 IOD Module Table and Functional Group Macro Table and Section A.1.3.3 User Option Modules; PS3.3 Section A.35.13 Comprehensive 3D SR IOD; Type 2 semantics in PS3.5 Section 7.4.3,"PS3.3 Table C.7-2b Clinical Trial Subject Module Attributes, rows Clinical Trial Site ID (0012,0030) Type 2 and Clinical Trial Site Name (0012,0031) Type 2; PS3.3 Table A.35.13-1 Comprehensive 3D SR IOD Modules, row Clinical Trial Subject, Usage U","PS3.3 Table C.7-2b, row ""Clinical Trial Site Name"", tag (0012,0031), Type 2: ""Name of the site responsible for submitting clinical trial or research data."" Row ""Clinical Trial Site ID"", tag (0012,0030), Type 2: ""The identifier of the site responsible for submitting clinical trial or research data."" PS3.3 Table A.35.13-1 gives the Clinical Trial Subject Module Usage U. PS3.3 Section A.1.3.3 User Option Modules, in full: ""User Option Modules may or may not be supported. If an optional Module is supported, the Attribute Types specified in the Modules in Annex C shall be supported."" PS3.5 Section 7.4.3: ""IODs and SOP Classes define Type 2 Data Elements that shall be included and are mandatory Data Elements. However, it is permissible that if a Value for a Type 2 Data Element is unknown it can be encoded with zero Value Length and no Value. ... These Data Elements shall be included in the Data Set and their absence is a protocol violation.""","A Type 2 attribute of a Module the object carries is absent entirely, not present and zero length, which PS3.5 Section 7.4.3 calls a protocol violation in terms. Two validators from different codebases report it on identical object sets, 935 objects for Site Name and 8 for Site ID with nothing on either side of either difference. One residual is recorded and not resolved: PS3.3 Section A.1.3.3 conditions the obligation on the optional Module being supported, and PS3.3 states no test for when a stored Data Set supports one. Both tools decide that antecedent from the presence of other attributes of the Module, dciodvfy by naming the Module in the message and dicom-validator through its documented _does_module_strongly_exist check, and neither is quoting the standard when it does so. Every triple in the report is also given with this rule demoted to UNDECIDABLE."
dciodvfy,113635600c0a,Error - Missing attribute Type 1C Conditional Element=<DeidentificationMethodCodeSequence> Module=<Patient>,Error,828,NET,DEIDENT_1C,PS3.3 Section C.7.1.1 Patient Module; PS3.3 Section A.35.13 Comprehensive 3D SR IOD; Type 1C semantics in PS3.5 Section 7.4.2,"PS3.3 Table C.7-1 Patient Module Attributes, rows De-identification Method (0012,0063) Type 1C and De-identification Method Code Sequence (0012,0064) Type 1C; PS3.3 Table A.35.13-1 Comprehensive 3D SR IOD Modules, row Patient, Usage M","PS3.3 Table C.7-1, row ""De-identification Method"", tag (0012,0063), Type 1C, closing sentences of the Attribute Description: ""Required if Patient Identity Removed (0012,0062) is present and has a Value of YES and De-identification Method Code Sequence (0012,0064) is not present. May be present otherwise."" Row ""De-identification Method Code Sequence"", tag (0012,0064), Type 1C: ""Required if Patient Identity Removed (0012,0062) is present and has a Value of YES and De-identification Method (0012,0063) is not present. May be present otherwise."" PS3.5 Section 7.4.2: ""IODs and SOP Classes define Data Elements that shall be included under certain specified conditions. Type 1C Data Elements have the same requirements as Type 1 Data Elements under these conditions. It is a protocol violation if the specified conditions are met and the Data Element is not included.""","The two conditions refer to each other, so both are met exactly when Patient Identity Removed (0012,0062) is present with Value YES and neither attribute is present. That is the only state in which both messages can be raised together, and both are raised together on all 828 objects by dciodvfy and independently by dicom-validator, with nothing on any side of any difference. The condition is fully evaluable from the Data Set, unlike the Laterality Type 2C already adjudicated FLOOR for this project, because every term of it is an attribute in the same Module. The Patient Module is Usage M in Table A.35.13-1, so no module presence question arises."
dciodvfy,a9d5bb8768bb,Error - Missing attribute Type 1C Conditional Element=<DeidentificationMethod> Module=<Patient>,Error,828,NET,DEIDENT_1C,PS3.3 Section C.7.1.1 Patient Module; PS3.3 Section A.35.13 Comprehensive 3D SR IOD; Type 1C semantics in PS3.5 Section 7.4.2,"PS3.3 Table C.7-1 Patient Module Attributes, rows De-identification Method (0012,0063) Type 1C and De-identification Method Code Sequence (0012,0064) Type 1C; PS3.3 Table A.35.13-1 Comprehensive 3D SR IOD Modules, row Patient, Usage M","PS3.3 Table C.7-1, row ""De-identification Method"", tag (0012,0063), Type 1C, closing sentences of the Attribute Description: ""Required if Patient Identity Removed (0012,0062) is present and has a Value of YES and De-identification Method Code Sequence (0012,0064) is not present. May be present otherwise."" Row ""De-identification Method Code Sequence"", tag (0012,0064), Type 1C: ""Required if Patient Identity Removed (0012,0062) is present and has a Value of YES and De-identification Method (0012,0063) is not present. May be present otherwise."" PS3.5 Section 7.4.2: ""IODs and SOP Classes define Data Elements that shall be included under certain specified conditions. Type 1C Data Elements have the same requirements as Type 1 Data Elements under these conditions. It is a protocol violation if the specified conditions are met and the Data Element is not included.""","The two conditions refer to each other, so both are met exactly when Patient Identity Removed (0012,0062) is present with Value YES and neither attribute is present. That is the only state in which both messages can be raised together, and both are raised together on all 828 objects by dciodvfy and independently by dicom-validator, with nothing on any side of any difference. The condition is fully evaluable from the Data Set, unlike the Laterality Type 2C already adjudicated FLOOR for this project, because every term of it is an attribute in the same Module. The Patient Module is Usage M in Table A.35.13-1, so no module presence question arises."
dciodvfy,b4222489c019,Warning - Value dubious for this VR - (TAG) PN Person Name PN [1] = <Anonymized> - Retired Person Name form,Warning,96,PLAUSIBILITY,RETIRED_PN,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious. 1,209 of the 1,224 message classes in this SOP class fall under this rule, one per distinct name value, because the census keys a class on the normalised message text and the value sits inside it."
dciodvfy,d1a80ff436c3,Error - Missing attribute Type 1 Required Element=<ReferencedSOPClassUID> Module=<SOPInstanceReferenceMacro>,Error,38,NET,REF_SOP_CLASS_UID,PS3.3 Section 10.8 SOP Instance Reference Macro; reached from PS3.3 Section C.7.2.1 General Study Module; Type 1 semantics in PS3.5 Section 7.4.1 and per-Item scope in PS3.5 Section 7.4.6,"PS3.3 Table 10-11 SOP Instance Reference Macro Attributes, row Referenced SOP Class UID (0008,1150) Type 1; included by PS3.3 Table C.7-3 General Study Module Attributes, row Referenced Study Sequence (0008,1110) Type 3","PS3.3 Table 10-11, row ""Referenced SOP Class UID"", tag (0008,1150), Type 1: ""Uniquely identifies the referenced SOP Class."" PS3.3 Table C.7-3, row ""Referenced Study Sequence"", tag (0008,1110), Type 3: ""A Sequence that provides reference to a Study. One or more Items are permitted in this Sequence."", followed by the row "">Include Table 10-11 SOP Instance Reference Macro Attributes"". PS3.5 Section 7.4.1: ""IODs and SOP Classes define Type 1 Data Elements that shall be included and are mandatory Data Elements. ... Absence of a valid Value in a Type 1 Data Element is a protocol violation."" PS3.5 Section 7.4.6: ""The Types of the Attributes of the Data Set included in the Sequence, including any conditionality, are specified within the scope of each Data Set, i.e., for each Item present in the Sequence.""","Referenced Study Sequence is Type 3, so it need not be present at all, but PS3.5 Section 7.4.6 puts the Types of Table 10-11 in scope for every Item that is present. The Item is present and its Type 1 Referenced SOP Class UID is not. dicom-validator reaches the same 38 objects by a different route and prints the full path, Module <General Study> (0008,1110) (Referenced Study Sequence) Tag (0008,1150) (Referenced SOP Class UID) is missing, which names the enclosing Sequence that dciodvfy's message does not. Its error code is TagMissing, not TagUnexpected, so the modelling defect recorded against this tool for nested macro children in the Comprehensive SR adjudication does not reach it."
dciodvfy,6b310a024f72,Error - Missing attribute Type 2 Required Element=<ClinicalTrialSiteID> Module=<ClinicalTrialSubject>,Error,8,NET,CT_SUBJECT_TYPE2,PS3.3 Section C.7.1.3 Clinical Trial Subject Module; PS3.3 Section A.1.3 IOD Module Table and Functional Group Macro Table and Section A.1.3.3 User Option Modules; PS3.3 Section A.35.13 Comprehensive 3D SR IOD; Type 2 semantics in PS3.5 Section 7.4.3,"PS3.3 Table C.7-2b Clinical Trial Subject Module Attributes, rows Clinical Trial Site ID (0012,0030) Type 2 and Clinical Trial Site Name (0012,0031) Type 2; PS3.3 Table A.35.13-1 Comprehensive 3D SR IOD Modules, row Clinical Trial Subject, Usage U","PS3.3 Table C.7-2b, row ""Clinical Trial Site Name"", tag (0012,0031), Type 2: ""Name of the site responsible for submitting clinical trial or research data."" Row ""Clinical Trial Site ID"", tag (0012,0030), Type 2: ""The identifier of the site responsible for submitting clinical trial or research data."" PS3.3 Table A.35.13-1 gives the Clinical Trial Subject Module Usage U. PS3.3 Section A.1.3.3 User Option Modules, in full: ""User Option Modules may or may not be supported. If an optional Module is supported, the Attribute Types specified in the Modules in Annex C shall be supported."" PS3.5 Section 7.4.3: ""IODs and SOP Classes define Type 2 Data Elements that shall be included and are mandatory Data Elements. However, it is permissible that if a Value for a Type 2 Data Element is unknown it can be encoded with zero Value Length and no Value. ... These Data Elements shall be included in the Data Set and their absence is a protocol violation.""","A Type 2 attribute of a Module the object carries is absent entirely, not present and zero length, which PS3.5 Section 7.4.3 calls a protocol violation in terms. Two validators from different codebases report it on identical object sets, 935 objects for Site Name and 8 for Site ID with nothing on either side of either difference. One residual is recorded and not resolved: PS3.3 Section A.1.3.3 conditions the obligation on the optional Module being supported, and PS3.3 states no test for when a stored Data Set supports one. Both tools decide that antecedent from the presence of other attributes of the Module, dciodvfy by naming the Module in the message and dicom-validator through its documented _does_module_strongly_exist check, and neither is quoting the standard when it does so. Every triple in the report is also given with this rule demoted to UNDECIDABLE."
dciodvfy,1a2e5ee5815a,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0164> - Retired Person Name form,Warning,6,PLAUSIBILITY,RETIRED_PN,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious. 1,209 of the 1,224 message classes in this SOP class fall under this rule, one per distinct name value, because the census keys a class on the normalised message text and the value sits inside it."
dciodvfy,2e9f41a00272,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0166> - Retired Person Name form,Warning,6,PLAUSIBILITY,RETIRED_PN,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious. 1,209 of the 1,224 message classes in this SOP class fall under this rule, one per distinct name value, because the census keys a class on the normalised message text and the value sits inside it."
