validator,message_class_id,message_template,severity_as_emitted,objects,adjudication,citation_section,citation_table,citation_quote,rationale
dciodvfy,76ab0c6981d2,Warning - CodingSchemeDesignator is deprecated - attribute <CodingSchemeDesignator> = <SRT>,Warning,2118,FLOOR,PS3.16 Section 8 Coding Schemes and Section 8.1 SNOMED CT; PS3.3 Section 8.2 Coding Scheme Designator and Coding Scheme Version,PS3.16 Table 8-1 Coding Schemes,"PS3.16 Table 8-1, row ""SRT"", Description column: ""[SNOMED], using the \""SNOMED-RT style\"" Code Values (see Section 8.1)"", carrying the Note: ""This Coding Scheme is deprecated. The use of \""SNOMED-RT style\"" Code Values is no longer authorized by SNOMED except for creation by legacy devices, legacy objects in archives, and receiving systems that need to understand them."" PS3.3 Section 8.2: ""Standard Coding Scheme designators used in DICOM information interchange are listed in PS3.16."" PS3.16 Section 8.1: ""It is the responsibility of such Application Entities to convert any alphanumeric SnomedID with Coding Scheme Designator \""SRT\"" used in old DICOM objects and services to the corresponding numeric ConceptID code.""","SRT is still a row of the normative Table 8-1 in the pinned edition, and the note contemplates legacy objects in archives explicitly. The obligation PS3.16 Section 8.1 states falls on the receiving Application Entity, not on the stored object, and PS3.16 Annex O exists to let receivers discharge it. No shall anywhere in the citation chain forbids a stored object from carrying SRT. dciodvfy's own wording is that the designator is deprecated, not that it is not permitted, and the message is emitted at Warning severity."
dciodvfy,4a71864409dc,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study Time,Warning,1356,NOT-IOD,"not applicable, the message is not about IOD conformance",not applicable,,"The canonical NOT-IOD case named in the rubric. The attribute is wanted for a DICOMDIR directory record, which is a Media Storage matter in PS3.10 and PS3.11, and its absence is not a statement about the Type of the attribute in this IOD. dciodvfy emits it at Warning severity and does not name a Type."
dciodvfy,815f5dab3ba7,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Warning,891,NOT-IOD,"not applicable, the message is not about IOD conformance",not applicable,,"The canonical NOT-IOD case named in the rubric. The attribute is wanted for a DICOMDIR directory record, which is a Media Storage matter in PS3.10 and PS3.11, and its absence is not a statement about the Type of the attribute in this IOD. dciodvfy emits it at Warning severity and does not name a Type."
dciodvfy,a11ed153ed0a,Error - Shall not be present for Referenced SOP Class that is not multi-frame - attribute <ReferencedFrameNumber>,Error,722,NET,"PS3.3 Section C.18.4 Image Reference Macro, reached from Section C.17.3 SR Document Content Module via Section C.17.3.3 Document Content Macro; Type 1C requirement in PS3.5 Section 7.4.2","PS3.3 Table C.18.4-1 Image Reference Macro Attributes; included by PS3.3 Table C.17-5 Document Content Macro Attributes, which is included by PS3.3 Table C.17-4 SR Document Content Module Attributes","PS3.3 Table C.18.4-1, row "">Referenced Frame Number"", tag (0008,1160), Type 1C: ""Identifies the Frame numbers within the Referenced SOP Instance to which the reference applies. The first Frame shall be denoted as Frame number 1. Required if the Referenced SOP Instance is a Multi-frame Image and the reference does not apply to all Frames, and Referenced Segment Number (0062,000B) is not present."" PS3.3 Table C.17-5: ""Include Table C.18.4-1 Image Reference Macro Attributes if and only if Value Type (0040,A040) is IMAGE."" PS3.5 Section 7.4.2 Type 1C Conditional Data Elements: ""When the specified conditions are not met, Type 1C Data Elements shall not be included in the Data Set unless it is specified that they may be present otherwise.""","dciodvfy reports that the Referenced SOP Class is not multi-frame, so the first clause of the three-clause condition is false and the condition is not met. PS3.5 Section 7.4.2 then makes presence a protocol violation unless the attribute is separately allowed to be present otherwise, and Table C.18.4-1 carries no such allowance for (0008,1160). The standard uses the phrase May be present otherwise where it intends it, for example on Current Requested Procedure Evidence Sequence (0040,A375) in Table C.17-2, and does not use it here. Two residuals are recorded and not resolved: the condition is written on the Referenced SOP Instance while dciodvfy evaluates it from the Referenced SOP Class UID, which is exact only for SOP Classes that admit no multi-frame Instance; and no PS3.16 template text was found that permits the attribute for a single-frame reference."
dciodvfy,7a5040220071,Warning - Value dubious for this VR - (TAG) PN Person Name PN [1] = <Removed> - Retired Person Name form,Warning,566,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,14603f34e31e,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <QIBA_CT_1C> - Retired Person Name form,Warning,462,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,71c024f95948,Error - Referenced SOP Instance is not listed in CurrentRequestedProcedureEvidenceSequence or PertinentOtherEvidenceSequence but have IMAGE ReferencedSOPInstanceUID UID,Error,462,NET,PS3.3 Section C.17.2 SR Document General Module and Section C.17.2.3 Current Requested Procedure Evidence Sequence and Pertinent Other Evidence Sequence,PS3.3 Table C.17-2 SR Document General Module Attributes,"PS3.3 Table C.17-2, row ""Current Requested Procedure Evidence Sequence"", tag (0040,A375), Type 1C: ""Full set of Composite SOP Instances, of which the creator is aware, which were created to satisfy the current Requested Procedure(s) for which this SR Document is generated or that are referenced in the Content Tree."" PS3.3 Section C.17.2.3: ""The intent of the Current Requested Procedure Evidence Sequence (0040,A375) is to reference all evidence created in order to satisfy the current Requested Procedure(s) for this SR Document. This shall include, but is not limited to, all current evidence referenced in the Content Tree."" and ""For other SOP Instances that include the SR Document General Module, this Sequence shall contain at minimum the set of Composite SOP Instances from the current Requested Procedure(s) that are referenced in the Content Tree."" and ""For the purposes of inclusion in the Current Requested Procedure Evidence Sequence (0040,A375) and the Pertinent Other Evidence Sequence (0040,A385), the set of Composite SOP Instances is defined to include not only the images and waveforms referenced in the Content Tree, but also all presentation states, Real World Value maps and other accompanying Composite Instances that are referenced from the Content Items.""","Two message classes fall under this rule, one naming an image reference and one naming a presentation state reached from an IMAGE Content Item. Both are covered: the third quoted sentence of Section C.17.2.3 puts presentation states referenced from Content Items inside the set that has to be listed, and the second uses shall for content-tree references. The Comprehensive SR IOD includes the SR Document General Module, so Table C.17-2 applies."
dciodvfy,786c37754445,Warning - Unrecognized defined term <RP-101030> for value 1 of attribute <Coding Scheme Designator>,Warning,462,UNDECIDABLE,PS3.3 Section 8.2; PS3.16 Section 8,PS3.16 Table 8-1 Coding Schemes,"PS3.3 Section 8.2: ""Other Coding Scheme designators, for both private and public Coding Schemes, may be used, in accordance with PS3.16."" PS3.16 Section 8: ""Additionally, any Coding Scheme may be used that has an entry in the HL7 Registry of Coding Schemes (HL7 v2 Table 0396, or the equivalent online registry), in which case the HL7 Symbolic Name shall be used as the value for the Coding Scheme Designator in DICOM, as long as it does not conflict with an entry Table 8-1 and fits within the Value Representation of the DICOM Coding Scheme Designator (0008,0102) Attribute. As specified in the HL7 v2 Table 0396, local or private Coding Schemes shall be identified by an alphanumeric identifier beginning with the characters \""99\"".""","The permission in PS3.3 Section 8.2 is not open: it is in accordance with PS3.16, and PS3.16 Section 8 conditions it on an entry in HL7 v2 Table 0396 or, for private schemes, on a leading 99. The flagged value is not a row of Table 8-1 and does not begin with 99, and this study did not consult the HL7 registry, so neither limb can be closed. Reported as an ambiguity rather than resolved. dciodvfy emits it at Warning severity and asserts no Type or condition."
dciodvfy,f52b4de5674c,Error - Referenced SOP Instance is not listed in CurrentRequestedProcedureEvidenceSequence or PertinentOtherEvidenceSequence but have IMAGE PresentationState ReferencedSOPInstanceUID UID,Error,462,NET,PS3.3 Section C.17.2 SR Document General Module and Section C.17.2.3 Current Requested Procedure Evidence Sequence and Pertinent Other Evidence Sequence,PS3.3 Table C.17-2 SR Document General Module Attributes,"PS3.3 Table C.17-2, row ""Current Requested Procedure Evidence Sequence"", tag (0040,A375), Type 1C: ""Full set of Composite SOP Instances, of which the creator is aware, which were created to satisfy the current Requested Procedure(s) for which this SR Document is generated or that are referenced in the Content Tree."" PS3.3 Section C.17.2.3: ""The intent of the Current Requested Procedure Evidence Sequence (0040,A375) is to reference all evidence created in order to satisfy the current Requested Procedure(s) for this SR Document. This shall include, but is not limited to, all current evidence referenced in the Content Tree."" and ""For other SOP Instances that include the SR Document General Module, this Sequence shall contain at minimum the set of Composite SOP Instances from the current Requested Procedure(s) that are referenced in the Content Tree."" and ""For the purposes of inclusion in the Current Requested Procedure Evidence Sequence (0040,A375) and the Pertinent Other Evidence Sequence (0040,A385), the set of Composite SOP Instances is defined to include not only the images and waveforms referenced in the Content Tree, but also all presentation states, Real World Value maps and other accompanying Composite Instances that are referenced from the Content Items.""","Two message classes fall under this rule, one naming an image reference and one naming a presentation state reached from an IMAGE Content Item. Both are covered: the third quoted sentence of Section C.17.2.3 puts presentation states referenced from Content Items inside the set that has to be listed, and the second uses shall for content-tree references. The Comprehensive SR IOD includes the SR Document General Module, so Table C.17-2 applies."
dciodvfy,6abd0e852d78,Error - Dicom dataset contains invalid data values for Value Representations,Error,232,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","dciodvfy's roll-up line for the per-attribute VR errors in the same object. Measured, not assumed: the set of objects carrying this message is exactly the set carrying the DS length errors, 232 objects with zero on either side of the difference, so it carries the same citation and the same off-part flag. It adds no object to any numerator."
