sop_class_name,validator,message_class_id,message_template,severity_as_emitted,objects,adjudication,citation_section,citation_table,citation_quote,rationale
Key Object Selection Document Storage,dciodvfy,5864dfbde871,Error - Missing attribute Type 2 Required Element=<Manufacturer> Module=<GeneralEquipment>,Error,40,NET,"PS3.3 Section C.7.5.1 General Equipment Module, with PS3.3 Section A.35.4.3 Key Object Selection Document IOD Module Table","PS3.3 Table C.7-8 General Equipment Module Attributes, and PS3.3 Table A.35.4-1 Key Object Selection Document IOD Modules","Table A.35.4-1 gives the Equipment IE row ""General Equipment, C.7.5.1, M"". Table C.7-8 gives Manufacturer (0008,0070), Type 2, ""Manufacturer of the equipment that produced the Composite Instances.""","The module is Mandatory in this IOD and the attribute is Type 2, so it shall be present in the Data Set and may be zero length. The census records Manufacturer as absent, not zero length, on every object in the class, and two independent validators agree. A stated requirement is violated."
Key Object Selection Document Storage,dciodvfy,815f5dab3ba7,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Warning,40,NOT-IOD,"PS3.3 Section F.5.2 Study Directory Record Definition, read against PS3.3 Section C.7.2.1 General Study Module","PS3.3 Table F.5-2 Study Keys, and PS3.3 Table C.7-3 General Study Module Attributes","Table F.5-2 makes Study ID (0020,0010) Type 1 in a directory record whose Directory Record Type (0004,1430) has Value ""STUDY."" Table C.7-3 gives the same attribute in the General Study Module as Type 2, ""User or equipment generated Study identifier.""","The requirement quoted is a key of the Basic Directory IOD, which is built by media interchange software, not by the instance. Inside the IODs under test Study ID is Type 2 and may be present with zero length. The message is advice about building a DICOMDIR and states nothing about IOD conformance."
Key Object Selection Document Storage,dciodvfy,01f0e5100721,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <QIN-Breast-DCE-MRI-BC15> - Retired Person Name form,Warning,4,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Key Object Selection Document Storage,dciodvfy,11173b41278b,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <QIN-Breast-DCE-MRI-BC05> - Retired Person Name form,Warning,4,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Key Object Selection Document Storage,dciodvfy,1193075acc0e,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <QIN-Breast-DCE-MRI-BC06> - Retired Person Name form,Warning,4,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Key Object Selection Document Storage,dciodvfy,1704d5af4b29,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <QIN-Breast-DCE-MRI-BC13> - Retired Person Name form,Warning,4,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Key Object Selection Document Storage,dciodvfy,46c8d3a45e29,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <QIN-Breast-DCE-MRI-BC12> - Retired Person Name form,Warning,4,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Key Object Selection Document Storage,dciodvfy,5789fbfec67a,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <QIN-Breast-DCE-MRI-BC01> - Retired Person Name form,Warning,4,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Key Object Selection Document Storage,dciodvfy,5ba8742d95ff,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <QIN-Breast-DCE-MRI-BC10> - Retired Person Name form,Warning,4,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Key Object Selection Document Storage,dciodvfy,68b71cc7804d,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <QIN-Breast-DCE-MRI-BC08> - Retired Person Name form,Warning,4,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
