sop_class_name,analysis_result_id,validator,message_class_id,severity_as_emitted,objects,message_template
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,dciodvfy,815f5dab3ba7,Warning,2906,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,dciodvfy,4a71864409dc,Warning,2208,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study Time
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,815f5dab3ba7,Warning,1091,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID
Comprehensive 3D SR Storage,nlst_sybil,dciodvfy,4a71864409dc,Warning,970,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study Time
Comprehensive 3D SR Storage,nlst_sybil,dciodvfy,815f5dab3ba7,Warning,970,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,dciodvfy,a9d5bb8768bb,Error,828,Error - Missing attribute Type 1C Conditional Element=<DeidentificationMethod> Module=<Patient>
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,dciodvfy,113635600c0a,Error,828,Error - Missing attribute Type 1C Conditional Element=<DeidentificationMethodCodeSequence> Module=<Patient>
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,dicom-validator,4236b7da7d99,ERROR,828,Module <Patient> Tag (TAG) (De-identification Method) is missing
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,dicom-validator,e897560f8e1b,ERROR,828,Module <Patient> Tag (TAG) (De-identification Method Code Sequence) is missing
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,dciodvfy,5f2ebd7be984,Error,610,Error - Missing attribute Type 2 Required Element=<ClinicalTrialSiteName> Module=<ClinicalTrialSubject>
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,dicom-validator,7ece92bac474,ERROR,610,Module <Clinical Trial Subject> Tag (TAG) (Clinical Trial Site Name) is missing
Comprehensive 3D SR Storage,prostatex_targets,dciodvfy,815f5dab3ba7,Warning,345,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID
Comprehensive 3D SR Storage,nlst_sybil,dciodvfy,5f2ebd7be984,Error,325,Error - Missing attribute Type 2 Required Element=<ClinicalTrialSiteName> Module=<ClinicalTrialSubject>
Comprehensive 3D SR Storage,nlst_sybil,dicom-validator,7ece92bac474,ERROR,325,Module <Clinical Trial Subject> Tag (TAG) (Clinical Trial Site Name) is missing
Comprehensive 3D SR Storage,rms_mutation_prediction_expert_annotations,dciodvfy,b4222489c019,Warning,96,Warning - Value dubious for this VR - (TAG) PN Person Name PN [1] = <Anonymized> - Retired Person Name form
Comprehensive 3D SR Storage,rms_mutation_prediction_expert_annotations,dicom-validator,041ad0826016,ERROR,91,Module <General> Tag (TAG) (Ethnic Group) is unexpected
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,d1a80ff436c3,Error,38,Error - Missing attribute Type 1 Required Element=<ReferencedSOPClassUID> Module=<SOPInstanceReferenceMacro>
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dicom-validator,3f48ea07519c,ERROR,38,Module <General Study> (TAG) (Referenced Study Sequence) Tag (TAG) (Referenced SOP Class UID) is missing
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dicom-validator,041ad0826016,ERROR,38,Module <General> Tag (TAG) (Ethnic Group) is unexpected
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,dciodvfy,6b310a024f72,Error,8,Error - Missing attribute Type 2 Required Element=<ClinicalTrialSiteID> Module=<ClinicalTrialSubject>
Comprehensive 3D SR Storage,nnu_net_bpr_annotations,dicom-validator,0f60c1041ba6,ERROR,8,Module <Clinical Trial Subject> Tag (TAG) (Clinical Trial Site ID) is missing
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,f80cba969ea9,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0050> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,f3af4ceb87c7,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0105> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,7cbe9ddce4b4,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0090> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,dd94b0d168f2,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0063> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,963861966938,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0117> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,8db5add473e2,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0134> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,e581bf9763fd,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0221> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,2e9f41a00272,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0166> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,fe1ea93077b7,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0165> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,7365846b2b7c,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0104> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,8a033c6c013d,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0084> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,89cd23320e02,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0083> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,e98c6d340eb6,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0216> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,ce63795357f6,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0078> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,1a2e5ee5815a,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0164> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,4d1cb6689c65,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-B0040> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,fb32009fe97b,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0037> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,5417b74edcb5,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0038> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,17c9f6b01efc,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0126> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,c03b739c6394,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0113> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,3ee2ffb8d691,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0103> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,fe4cfd720c83,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0087> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,887c1ca0bee4,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0167> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,c45c3ecf1172,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0045> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,2f5fb4d7f910,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0014> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,23aafb1fa046,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0015> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,ce1dd7445b58,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0185> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,8879354177d3,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0039> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,129b83c94163,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0258> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,6c113dc688f8,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0040> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,54d3296ad901,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0036> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,77e01d2d1ff5,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0035> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,6d59b3841b0a,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0178> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,d3e41712bc5e,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0038> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,0ec0a056b81d,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-B0033> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,6f515c0f50d3,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0218> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,ffe51288e8c0,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0256> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,23075be3e11d,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0232> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,407a9fab3f16,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0094> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,a6fd3c7734d1,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0106> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,e7adafa4bfff,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0059> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,a1a47e4e09a2,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0029> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,e601c25bf54f,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0260> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,39c215b380a8,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0243> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,aad1e30522c6,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0018> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,24078c25451b,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0041> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,a8f16d6d4ccf,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0091> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,ae527a7c1ca2,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0062> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,db0e5364e777,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0112> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,c289b3377e13,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0206> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,db5d9d7b5c16,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0220> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,5c53190f75ad,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0228> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,809f0857849b,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0032> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,5887b69c5200,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0012> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,efa665e2657c,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0214> - Retired Person Name form
