series_instance_uid,analysis_result_id,declared_MB,files_fetched,returncode,free_GB_before
1.2.276.0.7230010.3.1.3.313263360.43195.1706321379.260762,totalsegmentator_ct_segmentations,14.150734,1,0,1026.2
1.2.276.0.7230010.3.1.3.313263360.28058.1706320524.715595,totalsegmentator_ct_segmentations,24.389112,1,0,1026.2
1.2.276.0.7230010.3.1.3.0.66190.1553353048.71209,dicom_lidc_idri_nodules,0.035986,1,0,1026.2
1.2.276.0.7230010.3.1.3.0.20400.1553303361.48326,dicom_lidc_idri_nodules,0.035994,1,0,1026.2
1.2.276.0.7230010.3.1.3.17436516.3902818.1720465127.347590,bamf_aimi_annotations,0.035946,1,0,1026.2
1.2.276.0.7230010.3.1.3.17436516.681837.1722971254.543135,bamf_aimi_annotations,0.070712,1,0,1026.2
1.2.276.0.7230010.3.1.3.481037312.288665.1761249018.481405,nlstseg,0.068418,1,0,1026.2
1.2.276.0.7230010.3.1.3.481037312.95825.1761242474.229351,nlstseg,0.069462,1,0,1026.2
1.2.276.0.7230010.3.1.3.0.42821.1698536652.954210,prostate_mri_us_biopsy_dicom_annotations,0.224502,1,0,1026.2
1.2.276.0.7230010.3.1.3.0.40912.1698535124.897393,prostate_mri_us_biopsy_dicom_annotations,0.224512,1,0,1026.2
