sop_instance_uid,sop_class_uid,transfer_syntax_uid,SoftwareVersions,SoftwareVersions_state,DeviceSerialNumber,DeviceSerialNumber_state,Manufacturer,Manufacturer_state,ManufacturerModelName,ManufacturerModelName_state,ImplementationVersionName,ImplementationVersionName_state,ImplementationClassUID,ImplementationClassUID_state,ContributingEquipmentSequence_present,ContributingEquipmentSequence_items,segments,NumberOfFrames,SegmentationType,series_instance_uid,analysis_result_id,collection_id,declared_model_name
1.2.276.0.7230010.3.1.4.313263360.43195.1706321379.260763,1.2.840.10008.5.1.4.1.1.66.4,1.2.840.10008.1.2.1,7ae0873,non_empty,0,non_empty,QIICR,non_empty,https://github.com/QIICR/dcmqi,non_empty,OFFIS_DCMTK_366,non_empty,1.2.276.0.7230010.3.0.3.6.6,non_empty,False,0,33,424,BINARY,1.2.276.0.7230010.3.1.3.313263360.43195.1706321379.260762,totalsegmentator_ct_segmentations,nlst,https://github.com/QIICR/dcmqi
1.2.276.0.7230010.3.1.4.313263360.28058.1706320524.715596,1.2.840.10008.5.1.4.1.1.66.4,1.2.840.10008.1.2.1,7ae0873,non_empty,0,non_empty,QIICR,non_empty,https://github.com/QIICR/dcmqi,non_empty,OFFIS_DCMTK_366,non_empty,1.2.276.0.7230010.3.0.3.6.6,non_empty,False,0,34,731,BINARY,1.2.276.0.7230010.3.1.3.313263360.28058.1706320524.715595,totalsegmentator_ct_segmentations,nlst,https://github.com/QIICR/dcmqi
1.2.276.0.7230010.3.1.4.0.66190.1553353048.71210,1.2.840.10008.5.1.4.1.1.66.4,1.2.840.10008.1.2.1,f86b34f,non_empty,0,non_empty,QIICR,non_empty,https://github.com/QIICR/dcmqi.git,non_empty,0.5,non_empty,1.3.6.1.4.1.22213.1.143,non_empty,False,0,1,1,BINARY,1.2.276.0.7230010.3.1.3.0.66190.1553353048.71209,dicom_lidc_idri_nodules,lidc_idri,https://github.com/QIICR/dcmqi.git
1.2.276.0.7230010.3.1.4.0.20400.1553303361.48327,1.2.840.10008.5.1.4.1.1.66.4,1.2.840.10008.1.2.1,f86b34f,non_empty,0,non_empty,QIICR,non_empty,https://github.com/QIICR/dcmqi.git,non_empty,0.5,non_empty,1.3.6.1.4.1.22213.1.143,non_empty,False,0,1,1,BINARY,1.2.276.0.7230010.3.1.3.0.20400.1553303361.48326,dicom_lidc_idri_nodules,lidc_idri,https://github.com/QIICR/dcmqi.git
1.2.276.0.7230010.3.1.4.17436516.3902818.1720465127.347591,1.2.840.10008.5.1.4.1.1.66.4,1.2.840.10008.1.2.1,451bf84,non_empty,0,non_empty,QIICR,non_empty,git@github.com:QIICR/dcmqi.git,non_empty,OFFIS_DCMTK_366,non_empty,1.2.276.0.7230010.3.0.3.6.6,non_empty,False,0,1,1,BINARY,1.2.276.0.7230010.3.1.3.17436516.3902818.1720465127.347590,bamf_aimi_annotations,tcga_kich,git@github.com:QIICR/dcmqi.git
1.2.276.0.7230010.3.1.4.17436516.681837.1722971254.543136,1.2.840.10008.5.1.4.1.1.66.4,1.2.840.10008.1.2.1,451bf84,non_empty,0,non_empty,QIICR,non_empty,git@github.com:QIICR/dcmqi.git,non_empty,OFFIS_DCMTK_366,non_empty,1.2.276.0.7230010.3.0.3.6.6,non_empty,False,0,2,10,BINARY,1.2.276.0.7230010.3.1.3.17436516.681837.1722971254.543135,bamf_aimi_annotations,upenn_gbm,git@github.com:QIICR/dcmqi.git
1.2.276.0.7230010.3.1.4.481037312.288665.1761249018.481406,1.2.840.10008.5.1.4.1.1.66.4,1.2.840.10008.1.2.1,4e5b700,non_empty,0,non_empty,QIICR,non_empty,https://github.com/QIICR/dcmqi,non_empty,OFFIS_DCMTK_368,non_empty,1.2.276.0.7230010.3.0.3.6.8,non_empty,False,0,1,2,BINARY,1.2.276.0.7230010.3.1.3.481037312.288665.1761249018.481405,nlstseg,nlst,https://github.com/QIICR/dcmqi
1.2.276.0.7230010.3.1.4.481037312.95825.1761242474.229352,1.2.840.10008.5.1.4.1.1.66.4,1.2.840.10008.1.2.1,4e5b700,non_empty,0,non_empty,QIICR,non_empty,https://github.com/QIICR/dcmqi,non_empty,OFFIS_DCMTK_368,non_empty,1.2.276.0.7230010.3.0.3.6.8,non_empty,False,0,1,2,BINARY,1.2.276.0.7230010.3.1.3.481037312.95825.1761242474.229351,nlstseg,nlst,https://github.com/QIICR/dcmqi
1.2.276.0.7230010.3.1.4.0.42821.1698536652.954211,1.2.840.10008.5.1.4.1.1.66.4,1.2.840.10008.1.2.1,ef9e227,non_empty,0,non_empty,QIICR,non_empty,https://github.com/QIICR/dcmqi.git,non_empty,OFFIS_DCMTK_366,non_empty,1.2.276.0.7230010.3.0.3.6.6,non_empty,False,0,1,25,BINARY,1.2.276.0.7230010.3.1.3.0.42821.1698536652.954210,prostate_mri_us_biopsy_dicom_annotations,prostate_mri_us_biopsy,https://github.com/QIICR/dcmqi.git
1.2.276.0.7230010.3.1.4.0.40912.1698535124.897394,1.2.840.10008.5.1.4.1.1.66.4,1.2.840.10008.1.2.1,ef9e227,non_empty,0,non_empty,QIICR,non_empty,https://github.com/QIICR/dcmqi.git,non_empty,OFFIS_DCMTK_366,non_empty,1.2.276.0.7230010.3.0.3.6.6,non_empty,False,0,1,25,BINARY,1.2.276.0.7230010.3.1.3.0.40912.1698535124.897393,prostate_mri_us_biopsy_dicom_annotations,prostate_mri_us_biopsy,https://github.com/QIICR/dcmqi.git
