stratum,carrier,objects,absent,zero_length,non_empty
QIICR Reporting via 3D Slicer / (null),ContentCreatorName,96,0,88,8
QIICR Reporting via 3D Slicer / (null),ContributingEquipmentSequence,96,96,0,0
QIICR Reporting via 3D Slicer / (null),DeviceSerialNumber,96,88,0,8
QIICR Reporting via 3D Slicer / (null),ImplementationClassUID,96,0,0,96
QIICR Reporting via 3D Slicer / (null),ImplementationVersionName,96,0,0,96
QIICR Reporting via 3D Slicer / (null),Manufacturer,96,0,0,96
QIICR Reporting via 3D Slicer / (null),ManufacturerModelName,96,0,0,96
QIICR Reporting via 3D Slicer / (null),SeriesDescription,96,0,0,96
QIICR Reporting via 3D Slicer / (null),SoftwareVersions,96,0,0,96
QIICR Reporting via 3D Slicer / qin_lungct_seg,ContentCreatorName,378,0,0,378
QIICR Reporting via 3D Slicer / qin_lungct_seg,ContributingEquipmentSequence,378,378,0,0
QIICR Reporting via 3D Slicer / qin_lungct_seg,DeviceSerialNumber,378,90,0,288
QIICR Reporting via 3D Slicer / qin_lungct_seg,ImplementationClassUID,378,0,0,378
QIICR Reporting via 3D Slicer / qin_lungct_seg,ImplementationVersionName,378,0,0,378
QIICR Reporting via 3D Slicer / qin_lungct_seg,Manufacturer,378,0,0,378
QIICR Reporting via 3D Slicer / qin_lungct_seg,ManufacturerModelName,378,0,0,378
QIICR Reporting via 3D Slicer / qin_lungct_seg,SeriesDescription,378,0,0,378
QIICR Reporting via 3D Slicer / qin_lungct_seg,SoftwareVersions,378,0,0,378
dcmqi / (null),ContentCreatorName,384,0,220,164
dcmqi / (null),ContributingEquipmentSequence,384,384,0,0
dcmqi / (null),DeviceSerialNumber,384,83,87,214
dcmqi / (null),ImplementationClassUID,384,0,0,384
dcmqi / (null),ImplementationVersionName,384,0,0,384
dcmqi / (null),Manufacturer,384,0,0,384
dcmqi / (null),ManufacturerModelName,384,0,0,384
dcmqi / (null),SeriesDescription,384,0,0,384
dcmqi / (null),SoftwareVersions,384,0,0,384
dcmqi / bamf_aimi_annotations,ContentCreatorName,384,0,0,384
dcmqi / bamf_aimi_annotations,ContributingEquipmentSequence,384,384,0,0
dcmqi / bamf_aimi_annotations,DeviceSerialNumber,384,0,0,384
dcmqi / bamf_aimi_annotations,ImplementationClassUID,384,0,0,384
dcmqi / bamf_aimi_annotations,ImplementationVersionName,384,0,0,384
dcmqi / bamf_aimi_annotations,Manufacturer,384,0,0,384
dcmqi / bamf_aimi_annotations,ManufacturerModelName,384,0,0,384
dcmqi / bamf_aimi_annotations,SeriesDescription,384,0,0,384
dcmqi / bamf_aimi_annotations,SoftwareVersions,384,0,0,384
dcmqi / dicom_lidc_idri_nodules,ContentCreatorName,384,0,0,384
dcmqi / dicom_lidc_idri_nodules,ContributingEquipmentSequence,384,384,0,0
dcmqi / dicom_lidc_idri_nodules,DeviceSerialNumber,384,0,0,384
dcmqi / dicom_lidc_idri_nodules,ImplementationClassUID,384,0,0,384
dcmqi / dicom_lidc_idri_nodules,ImplementationVersionName,384,0,0,384
dcmqi / dicom_lidc_idri_nodules,Manufacturer,384,0,0,384
dcmqi / dicom_lidc_idri_nodules,ManufacturerModelName,384,0,0,384
dcmqi / dicom_lidc_idri_nodules,SeriesDescription,384,0,0,384
dcmqi / dicom_lidc_idri_nodules,SoftwareVersions,384,0,0,384
dcmqi / nlstseg,ContentCreatorName,384,0,0,384
dcmqi / nlstseg,ContributingEquipmentSequence,384,384,0,0
dcmqi / nlstseg,DeviceSerialNumber,384,0,0,384
dcmqi / nlstseg,ImplementationClassUID,384,0,0,384
dcmqi / nlstseg,ImplementationVersionName,384,0,0,384
dcmqi / nlstseg,Manufacturer,384,0,0,384
dcmqi / nlstseg,ManufacturerModelName,384,0,0,384
dcmqi / nlstseg,SeriesDescription,384,0,0,384
dcmqi / nlstseg,SoftwareVersions,384,0,0,384
dcmqi / nnu_net_bpr_annotations,ContentCreatorName,384,0,0,384
dcmqi / nnu_net_bpr_annotations,ContributingEquipmentSequence,384,384,0,0
dcmqi / nnu_net_bpr_annotations,DeviceSerialNumber,384,0,0,384
dcmqi / nnu_net_bpr_annotations,ImplementationClassUID,384,0,0,384
dcmqi / nnu_net_bpr_annotations,ImplementationVersionName,384,0,0,384
dcmqi / nnu_net_bpr_annotations,Manufacturer,384,0,0,384
dcmqi / nnu_net_bpr_annotations,ManufacturerModelName,384,0,0,384
dcmqi / nnu_net_bpr_annotations,SeriesDescription,384,0,0,384
dcmqi / nnu_net_bpr_annotations,SoftwareVersions,384,0,0,384
dcmqi / pancreas_ct_seg,ContentCreatorName,80,0,0,80
dcmqi / pancreas_ct_seg,ContributingEquipmentSequence,80,80,0,0
dcmqi / pancreas_ct_seg,DeviceSerialNumber,80,0,0,80
dcmqi / pancreas_ct_seg,ImplementationClassUID,80,0,0,80
dcmqi / pancreas_ct_seg,ImplementationVersionName,80,0,0,80
dcmqi / pancreas_ct_seg,Manufacturer,80,0,0,80
dcmqi / pancreas_ct_seg,ManufacturerModelName,80,0,0,80
dcmqi / pancreas_ct_seg,SeriesDescription,80,0,0,80
dcmqi / pancreas_ct_seg,SoftwareVersions,80,0,0,80
dcmqi / prostate_mri_us_biopsy_dicom_annotations,ContentCreatorName,384,0,0,384
dcmqi / prostate_mri_us_biopsy_dicom_annotations,ContributingEquipmentSequence,384,384,0,0
dcmqi / prostate_mri_us_biopsy_dicom_annotations,DeviceSerialNumber,384,0,0,384
dcmqi / prostate_mri_us_biopsy_dicom_annotations,ImplementationClassUID,384,0,0,384
dcmqi / prostate_mri_us_biopsy_dicom_annotations,ImplementationVersionName,384,0,0,384
dcmqi / prostate_mri_us_biopsy_dicom_annotations,Manufacturer,384,0,0,384
dcmqi / prostate_mri_us_biopsy_dicom_annotations,ManufacturerModelName,384,0,0,384
dcmqi / prostate_mri_us_biopsy_dicom_annotations,SeriesDescription,384,0,0,384
dcmqi / prostate_mri_us_biopsy_dicom_annotations,SoftwareVersions,384,0,0,384
dcmqi / prostatex_seg_hires,ContentCreatorName,66,0,0,66
dcmqi / prostatex_seg_hires,ContributingEquipmentSequence,66,66,0,0
dcmqi / prostatex_seg_hires,DeviceSerialNumber,66,0,0,66
dcmqi / prostatex_seg_hires,ImplementationClassUID,66,0,0,66
dcmqi / prostatex_seg_hires,ImplementationVersionName,66,0,0,66
dcmqi / prostatex_seg_hires,Manufacturer,66,0,0,66
dcmqi / prostatex_seg_hires,ManufacturerModelName,66,0,0,66
dcmqi / prostatex_seg_hires,SeriesDescription,66,0,0,66
dcmqi / prostatex_seg_hires,SoftwareVersions,66,0,0,66
dcmqi / prostatex_seg_zones,ContentCreatorName,98,0,0,98
dcmqi / prostatex_seg_zones,ContributingEquipmentSequence,98,98,0,0
dcmqi / prostatex_seg_zones,DeviceSerialNumber,98,0,0,98
dcmqi / prostatex_seg_zones,ImplementationClassUID,98,0,0,98
dcmqi / prostatex_seg_zones,ImplementationVersionName,98,0,0,98
dcmqi / prostatex_seg_zones,Manufacturer,98,0,0,98
dcmqi / prostatex_seg_zones,ManufacturerModelName,98,0,0,98
dcmqi / prostatex_seg_zones,SeriesDescription,98,0,0,98
dcmqi / prostatex_seg_zones,SoftwareVersions,98,0,0,98
dcmqi / rider_lungct_seg,ContentCreatorName,59,0,0,59
dcmqi / rider_lungct_seg,ContributingEquipmentSequence,59,59,0,0
dcmqi / rider_lungct_seg,DeviceSerialNumber,59,0,0,59
dcmqi / rider_lungct_seg,ImplementationClassUID,59,0,0,59
dcmqi / rider_lungct_seg,ImplementationVersionName,59,0,0,59
dcmqi / rider_lungct_seg,Manufacturer,59,0,0,59
dcmqi / rider_lungct_seg,ManufacturerModelName,59,0,0,59
dcmqi / rider_lungct_seg,SeriesDescription,59,0,0,59
dcmqi / rider_lungct_seg,SoftwareVersions,59,0,0,59
dcmqi / totalsegmentator_ct_segmentations,ContentCreatorName,384,0,0,384
