stratum,validator,message_class_id,severity_as_emitted,message_template,objects
QIICR Reporting via 3D Slicer / (null),dciodvfy,76ab0c6981d2,Warning,Warning - CodingSchemeDesignator is deprecated - attribute <CodingSchemeDesignator> = <SRT>,96
QIICR Reporting via 3D Slicer / (null),dciodvfy,815f5dab3ba7,Warning,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,96
QIICR Reporting via 3D Slicer / (null),dicom-validator,380880930b44,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,96
QIICR Reporting via 3D Slicer / (null),dicom-validator,6f01abd4f319,ERROR,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,96
QIICR Reporting via 3D Slicer / (null),dicom-validator,d0eabe730084,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,96
QIICR Reporting via 3D Slicer / (null),dicom-validator,d81147d20e87,ERROR,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,96
QIICR Reporting via 3D Slicer / (null),dicom-validator,f6bdf6ba947e,ERROR,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Segment Identification Sequence) is unexpected,96
QIICR Reporting via 3D Slicer / (null),dciodvfy,1e5af1bdbedd,Warning,Warning - Dicom dataset contains attributes not present in standard DICOM IOD - this is a Standard Extended SOP Class,93
QIICR Reporting via 3D Slicer / (null),dciodvfy,147558acc184,Warning,Warning - Attribute is not present in standard DICOM IOD - (TAG) SH Code Value,88
QIICR Reporting via 3D Slicer / (null),dciodvfy,702e93617425,Error,Error - Missing attribute Type 1 Required Element=<DeviceSerialNumber> Module=<EnhancedGeneralEquipment>,88
QIICR Reporting via 3D Slicer / (null),dciodvfy,958923375dea,Warning,Warning - Attribute is not present in standard DICOM IOD - (TAG) LO Code Meaning,88
QIICR Reporting via 3D Slicer / (null),dciodvfy,a11ed153ed0a,Error,Error - Shall not be present for Referenced SOP Class that is not multi-frame - attribute <ReferencedFrameNumber>,88
QIICR Reporting via 3D Slicer / (null),dicom-validator,484682388d5f,ERROR,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,88
QIICR Reporting via 3D Slicer / (null),dicom-validator,6a2af7ccf9a8,ERROR,Module <Enhanced General Equipment> Tag (TAG) (Device Serial Number) is missing,88
QIICR Reporting via 3D Slicer / (null),dciodvfy,64bbfd5997f6,Warning,Warning - Attribute is not present in standard DICOM IOD - (TAG) SH Coding Scheme Designator,85
QIICR Reporting via 3D Slicer / (null),dciodvfy,92c8084dd8c4,Warning,Warning - Attribute is not present in standard DICOM IOD - (TAG) SQ Performed Procedure Code Sequence,83
QIICR Reporting via 3D Slicer / (null),dicom-validator,a63680a5dfc5,ERROR,Module <General> Tag (TAG) (Performed Procedure Code Sequence) is unexpected,83
QIICR Reporting via 3D Slicer / (null),dciodvfy,0bc2f06c427e,Warning,Warning - Attribute is not present in standard DICOM IOD - (TAG) SQ Referenced Request Sequence,63
QIICR Reporting via 3D Slicer / (null),dciodvfy,2debda3e6f4b,Warning,Warning - Attribute is not present in standard DICOM IOD - (TAG) SH Requested Procedure ID,63
QIICR Reporting via 3D Slicer / (null),dciodvfy,5ca2125ab430,Warning,Warning - Attribute is not present in standard DICOM IOD - (TAG) LO Filler Order Number / Imaging Service Request,63
QIICR Reporting via 3D Slicer / (null),dciodvfy,63ddf7a76523,Warning,Warning - Attribute is not present in standard DICOM IOD - (TAG) UI Study Instance UID,63
QIICR Reporting via 3D Slicer / (null),dciodvfy,97b851c8285d,Warning,Warning - Attribute is not present in standard DICOM IOD - (TAG) SH Accession Number,63
QIICR Reporting via 3D Slicer / (null),dciodvfy,ae07adc4c247,Warning,Warning - Attribute is not present in standard DICOM IOD - (TAG) SQ Referenced Study Sequence,63
QIICR Reporting via 3D Slicer / (null),dciodvfy,be14c7bf8c8c,Warning,Warning - Attribute is not present in standard DICOM IOD - (TAG) LO Placer Order Number / Imaging Service Request,63
QIICR Reporting via 3D Slicer / (null),dciodvfy,e35f14de6da0,Warning,Warning - Attribute is not present in standard DICOM IOD - (TAG) LO Requested Procedure Description,63
QIICR Reporting via 3D Slicer / (null),dicom-validator,dc60aa55e7c1,ERROR,Module <General> Tag (TAG) (Referenced Request Sequence) is unexpected,63
QIICR Reporting via 3D Slicer / (null),dciodvfy,164b99560f17,Warning,Warning - Attribute is not present in standard DICOM IOD - (TAG) SQ Requested Procedure Code Sequence,62
QIICR Reporting via 3D Slicer / (null),dciodvfy,72bf5e06957c,Warning,Warning - Attribute is not present in standard DICOM IOD - (TAG) UI Referenced SOP Class UID,62
QIICR Reporting via 3D Slicer / (null),dciodvfy,7e16c2fc4a9d,Warning,Warning - Attribute is not present in standard DICOM IOD - (TAG) UI Referenced SOP Instance UID,62
QIICR Reporting via 3D Slicer / (null),dciodvfy,420918913223,Error,Error - Missing attribute Type 1C Conditional Element=<CodingSchemeDesignator> Module=<BasicCodeSequenceMacro>,55
QIICR Reporting via 3D Slicer / (null),dicom-validator,14b6342ba548,ERROR,Module <General Study> (TAG) (Procedure Code Sequence) Tag (TAG) (Coding Scheme Designator) is missing,55
QIICR Reporting via 3D Slicer / (null),dciodvfy,3489a48154f6,Warning,Warning - Attribute is not present in standard DICOM IOD - (TAG) SH Coding Scheme Version,21
QIICR Reporting via 3D Slicer / (null),dciodvfy,9ee22e1c2108,Warning,Warning - Unrecognized defined term <GEIIS> for value 1 of attribute <Coding Scheme Designator>,21
QIICR Reporting via 3D Slicer / (null),dciodvfy,86db13b2ad53,Error,Error - Unrecognized enumerated value <0000> for value 1 of attribute <Patient's Sex>,14
QIICR Reporting via 3D Slicer / (null),dicom-validator,76d33ea96d79,ERROR,"Module <Patient> Tag (TAG) (Patient's Sex) - enum value '0000' not allowed, allowed values: M, F, O",14
QIICR Reporting via 3D Slicer / (null),dicom-validator,f782376ec325,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,8
QIICR Reporting via 3D Slicer / (null),dciodvfy,8641588d6d21,Error,Error - Missing attribute Type 1C Conditional Element=<CodeValue> Module=<BasicCodeSequenceMacro>,7
QIICR Reporting via 3D Slicer / (null),dciodvfy,9526db7d10a8,Error,Error - Missing attribute Type 1 Required Element=<CodeMeaning> Module=<BasicCodeSequenceMacro>,7
QIICR Reporting via 3D Slicer / (null),dciodvfy,dfd5ac96d48a,Error,Error - Missing attribute Type 1C Conditional Element=<LongCodeValue> Module=<BasicCodeSequenceMacro>,7
QIICR Reporting via 3D Slicer / (null),dciodvfy,f2013c7a8c2e,Error,Error - Missing attribute Type 1C Conditional Element=<URNCodeValue> Module=<BasicCodeSequenceMacro>,7
QIICR Reporting via 3D Slicer / (null),dicom-validator,3e57553cb235,ERROR,Module <General Study> (TAG) (Procedure Code Sequence) Tag (TAG) (URN Code Value) is missing,7
QIICR Reporting via 3D Slicer / (null),dicom-validator,6c83a7f5adfe,ERROR,Module <General Study> (TAG) (Procedure Code Sequence) Tag (TAG) (Code Meaning) is missing,7
QIICR Reporting via 3D Slicer / (null),dciodvfy,90bfbde4dc15,Warning,(TAG) ? - Warning - Unrecognized tag - assuming explicit value representation OK,6
QIICR Reporting via 3D Slicer / (null),dciodvfy,0786a34e0c26,Warning,Warning - Value is zero for value 1 of attribute <Patient's Weight>,3
QIICR Reporting via 3D Slicer / (null),dciodvfy,0386dbb43351,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-041> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,052afb27b3da,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-013> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,05b953629b70,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-057> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,0cb875e5c3fb,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-081> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,0cf2c2a290df,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-069> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,0e237b8a9508,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-072> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,116fa878e53a,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-056> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,1384c2ed844c,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-095> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,144fb0c3444f,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-002> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,15d8427833c0,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-028> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,16f55e331227,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-023> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,16f7c54140ca,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-083> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,197fb1186bbf,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-003> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,1b3739c0d4b2,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-073> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,2241ef34d43a,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-036> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,23621f00ac57,Warning,Warning - Dicom dataset contains retired attributes,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,285067d24208,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-086> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,2a5824a90b87,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-017> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,2cd24c21ea18,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-039> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,2ce8a71af7cf,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-026> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,2fadb976c66c,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-048> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,31a9fd5c6a98,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-052> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,36e7ca3d4997,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-079> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,389367a5616f,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-085> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,3a8686bcc59b,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-097> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,3d7a12b5812a,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-043> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,3dc59f07dba1,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-049> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,45f38cafdcff,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-029> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,4754f62dc12b,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-027> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,47eb182eea07,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-001> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,4a7c41e93c75,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-034> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,4bcc583fa8b4,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-096> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,4cae19ae9b57,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-047> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,4ff1abdee8e9,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-068> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,560733e2a732,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-021> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,5629e5a869f6,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-087> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,5bf8609dd59a,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-053> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,5f0120680242,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-014> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,5f6bd380b017,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-092> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,63c4769fd03f,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-018> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,63e47d5a59e1,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-045> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,646f0f382c00,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-084> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,659902c077dc,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-038> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,6c719600d2b7,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-064> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,7186990d8ddb,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-022> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,7603f7dcc566,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-005> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,7e816b2f34b5,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-094> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,7f27c58e66c3,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-030> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,8279650ff8af,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-050> - Retired Person Name form,1
