series_instance_uid,stratum,writer,analysis_result_id,collection_id,status,objects,instances_declared
1.2.276.0.7230010.3.1.3.1031255639.1360.1345986125.197,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.2.276.0.7230010.3.1.3.1231426215.1548.1345733772.282,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.2.276.0.7230010.3.1.3.1565948079.2912.1345147669.282,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.3.6.1.4.1.14519.5.2.1.126760213189132225878687330404020254943,dcmqi / (null),dcmqi,(null),remind,OK,1,1
1.2.276.0.7230010.3.1.3.1231426215.1108.1345549342.289,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.2.276.0.7230010.3.1.3.1231426215.1548.1345733772.289,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.3.6.1.4.1.14519.5.2.1.211042100735491137893434081365735935948,dcmqi / (null),dcmqi,(null),remind,OK,1,1
1.3.6.1.4.1.14519.5.2.1.69236573048873300932173316377338257985,dcmqi / (null),dcmqi,(null),remind,OK,1,1
1.2.276.0.7230010.3.1.3.1565948079.2912.1345147669.289,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.3.6.1.4.1.14519.5.2.1.6202159469018061186560047043057745117,dcmqi / (null),dcmqi,(null),remind,OK,1,1
1.2.276.0.7230010.3.1.3.3496549722.3760.1315858649.291,not identifiable from index / (null),not identifiable from index,(null),qiba_ct_1c,OK,1,1
1.2.276.0.7230010.3.1.3.3496549722.2596.1316086976.24,not identifiable from index / (null),not identifiable from index,(null),qiba_ct_1c,OK,1,1
1.2.276.0.7230010.3.1.3.3496549722.3320.1316194653.100,not identifiable from index / (null),not identifiable from index,(null),qiba_ct_1c,OK,1,1
1.2.276.0.7230010.3.1.3.3496549722.3672.1315771120.290,not identifiable from index / (null),not identifiable from index,(null),qiba_ct_1c,OK,1,1
1.2.276.0.7230010.3.1.3.3496549722.3928.1316111313.25,not identifiable from index / (null),not identifiable from index,(null),qiba_ct_1c,OK,1,1
1.2.276.0.7230010.3.1.3.3496549722.2876.1315868844.443,not identifiable from index / (null),not identifiable from index,(null),qiba_ct_1c,OK,1,1
1.2.276.0.7230010.3.1.3.1231426215.1428.1345546629.157,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.2.276.0.7230010.3.1.3.4148549909.2316.1344856656.327,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.2.276.0.7230010.3.1.3.505801377.2044.1345985214.374,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.2.276.0.7230010.3.1.3.1031255639.2932.1345990982.412,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.2.276.0.7230010.3.1.3.1231426215.1972.1345568892.404,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.2.276.0.7230010.3.1.3.1231426215.2092.1345741703.204,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.2.276.0.7230010.3.1.3.309938702.2016.1345115561.326,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.2.276.0.7230010.3.1.3.3426864066.2188.1345231053.27,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.3.6.1.4.1.14519.5.2.1.234064384791144037554412331887022291962,dcmqi / (null),dcmqi,(null),remind,OK,1,1
1.3.6.1.4.1.14519.5.2.1.108191122818059381078372308108438640975,dcmqi / (null),dcmqi,(null),remind,OK,1,1
1.2.276.0.7230010.3.1.3.3496549722.3920.1317667503.215,not identifiable from index / (null),not identifiable from index,(null),qiba_ct_1c,OK,1,1
1.2.276.0.7230010.3.1.3.3496549722.3320.1316196213.556,not identifiable from index / (null),not identifiable from index,(null),qiba_ct_1c,OK,1,1
1.3.6.1.4.1.14519.5.2.1.243875377197159364886229985040300306071,dcmqi / (null),dcmqi,(null),remind,OK,1,1
1.3.6.1.4.1.14519.5.2.1.125185684122837427444845028615308535871,dcmqi / (null),dcmqi,(null),remind,OK,1,1
1.2.276.0.7230010.3.1.3.309938702.2796.1345119339.71,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.2.276.0.7230010.3.1.3.1031255639.896.1345989426.112,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.2.276.0.7230010.3.1.3.1231426215.1972.1345740446.289,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.2.276.0.7230010.3.1.3.1231426215.2940.1345569540.34,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.2.276.0.7230010.3.1.3.3426864066.1284.1345229185.289,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.3.6.1.4.1.14519.5.2.1.184703737342572044181000784044135806645,dcmqi / (null),dcmqi,(null),remind,OK,1,1
