sop_class,sop_class_uid,equipment_module,usage,table,Manufacturer,ManufacturerModelName,DeviceSerialNumber,SoftwareVersions
Segmentation Storage,1.2.840.10008.5.1.4.1.1.66.4,Enhanced General Equipment,M,C.7.5.2,1,1,1,1
Segmentation Storage,1.2.840.10008.5.1.4.1.1.66.4,General Equipment,M,C.7.5.1,2,3,3,3
Parametric Map Storage,1.2.840.10008.5.1.4.1.1.30,Enhanced General Equipment,M,C.7.5.2,1,1,1,1
Parametric Map Storage,1.2.840.10008.5.1.4.1.1.30,General Equipment,M,C.7.5.1,2,3,3,3
RT Structure Set Storage,1.2.840.10008.5.1.4.1.1.481.3,General Equipment,M,C.7.5.1,2,3,3,3
Comprehensive SR Storage,1.2.840.10008.5.1.4.1.1.88.33,General Equipment,M,C.7.5.1,2,3,3,3
Comprehensive 3D SR Storage,1.2.840.10008.5.1.4.1.1.88.34,General Equipment,M,C.7.5.1,2,3,3,3
Grayscale Softcopy Presentation State Storage,1.2.840.10008.5.1.4.1.1.11.1,General Equipment,M,C.7.5.1,2,3,3,3
Key Object Selection Document Storage,1.2.840.10008.5.1.4.1.1.88.59,General Equipment,M,C.7.5.1,2,3,3,3
Real World Value Mapping Storage,1.2.840.10008.5.1.4.1.1.67,General Equipment,M,C.7.5.1,2,3,3,3
